Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
1889;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
1984;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
2093;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
2202;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
2310;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
2419;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
2529;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
2638;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
2746;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
2854;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
2962;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
3073;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
3180;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
3291;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
3400;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
3511;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
3623;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
3734;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
3843;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
3953;1;1;427;427;0;2;0.5;213;640;0;3;0.25;107;747;0;4;0.125;53;800;0;NaN0;800;0;800
4065;1;1;427;427;30;2;0.5;213;610;78;3;0.25;107;639;127;4;0.125;53;565;465;NaN0;100;0;100
4174;1;1;427;427;29;2;0.5;213;611;32;3;0.25;107;686;59;4;0.125;53;680;255;NaN0;425;0;425
4283;1;1;427;427;42;2;0.5;213;598;69;3;0.25;107;636;120;4;0.125;53;569;569;0;0;0;0
4392;1;1;427;427;42;2;0.5;213;598;70;3;0.25;107;635;122;4;0.125;53;566;566;0;0;0;0
4504;1;1;427;427;32;2;0.5;213;608;93;3;0.25;107;622;130;4;0.125;53;545;545;0;0;0;0
4611;1;1;427;427;42;2;0.5;213;598;80;3;0.25;107;625;140;4;0.125;53;538;538;0;0;0;0
4717;1;1;427;427;37;2;0.5;213;603;81;3;0.25;107;629;130;4;0.125;53;552;552;0;0;0;0
4828;1;1;427;427;41;2;0.5;213;599;81;3;0.25;107;625;116;4;0.125;53;562;562;0;0;0;0
4934;1;1;427;427;39;2;0.5;213;601;83;3;0.25;107;625;127;4;0.125;53;551;551;0;0;0;0
5046;1;1;427;427;37;2;0.5;213;603;79;3;0.25;107;631;107;4;0.125;53;577;577;0;0;0;0
5151;1;1;427;427;34;2;0.5;213;606;84;3;0.25;107;629;118;4;0.125;53;564;564;0;0;0;0
5262;1;1;427;427;41;2;0.5;213;599;76;3;0.25;107;630;121;4;0.125;53;562;562;0;0;0;0
5372;1;1;427;427;38;2;0.5;213;602;80;3;0.25;107;629;125;4;0.125;53;557;557;0;0;0;0
5478;1;1;427;427;54;2;0.5;213;586;73;3;0.25;107;620;110;4;0.125;53;563;563;0;0;0;0
5588;1;1;427;427;49;2;0.5;213;591;90;3;0.25;107;608;101;4;0.125;53;560;560;0;0;0;0
5697;1;1;427;427;39;2;0.5;213;601;85;3;0.25;107;623;135;4;0.125;53;541;541;0;0;0;0
5802;1;1;427;427;42;2;0.5;213;598;66;3;0.25;107;639;135;4;0.125;53;557;557;0;0;0;0
5914;1;1;427;427;46;2;0.5;213;594;79;3;0.25;107;622;119;4;0.125;53;556;556;0;0;0;0
6022;1;1;427;427;35;2;0.5;213;605;83;3;0.25;107;629;117;4;0.125;53;565;565;0;0;0;0
