Timestamp; Leidos por Classifier; Quedan en cola
57;800;0
160;800;0
270;800;1327
379;800;1363
488;800;1684
597;800;1845
705;800;3322
811;800;3353
921;800;4162
1031;800;4687
1140;800;5346
1247;800;6275
1356;800;6456
1465;800;6198
1574;800;6792
1682;800;7679
1788;800;8097
1898;800;9372
2007;800;9413
2115;800;8920
2225;800;9494
2333;800;9411
2443;800;10642
2553;800;12436
2662;800;13399
2770;800;14825
2880;800;14666
2989;800;15272
3098;800;15325
3207;800;14913
3317;800;14761
3426;800;15565
3538;800;15903
3648;800;16359
3754;800;16486
3863;800;17631
3970;800;17983
4079;800;18166
4190;800;18976
4298;800;20807
4408;800;20697
4515;800;20445
4625;800;22211
4733;800;22673
4842;800;22248
4950;800;22306
5060;800;21826
5168;800;21769
5276;800;21425
5387;800;21416
5496;800;21449
5604;800;21640
5714;800;22209
5822;800;21808
5927;800;21751
6036;800;22298
6145;800;23748
6253;800;24368
6365;800;23907
6473;800;23481
6581;800;24671
6688;800;25247
6798;800;25206
6906;800;24932
7015;800;25712
7125;800;26249
7233;800;26753
7342;800;27307
7453;800;27729
7561;800;28216
7669;800;28237
7780;800;28010
7889;800;28731
7998;800;28585
8106;800;28773
8215;800;28625
8323;800;29090
8431;800;29191
8540;800;29089
8647;800;29565
8757;800;30157
8868;800;30603
8976;800;30210
9087;800;29973
9194;800;30141
9302;800;30121
9412;800;30210
9521;800;30527
9632;800;31139
9739;800;30993
9847;800;31341
9954;800;31668
10060;800;32328
10173;800;32018
10278;800;34001
10387;800;34769
10496;800;34819
10604;800;35094
10714;800;36394
10823;800;36018
10931;800;36850
11040;800;36750
11151;800;37311
11256;800;37076
11363;800;37943
11470;800;38287
11578;800;38386
11688;800;38731
11798;800;39672
11910;800;40133
12019;800;39857
12127;800;39633
12238;800;40488
12349;800;40254
12461;800;40055
12568;800;40753
12678;800;41547
12787;800;42806
12897;800;42985
13007;800;42583
13115;800;43095
13224;800;43335
13334;800;42997
13443;800;43154
13551;800;44977
13659;800;45761
13769;800;46237
13878;800;46659
13986;800;47257
14093;800;47771
14203;800;47674
14312;800;48500
14421;800;48876
14530;800;49190
14640;800;49623
14750;800;49595
14860;800;49933
14969;800;49845
15078;800;49859
15187;800;49869
15295;800;50372
15402;800;50926
15510;800;50895
15618;800;50769
15727;800;50869
15835;800;51642
15942;800;52075
16052;800;52460
16161;800;53635
16269;800;54461
16381;800;55769
16490;800;56463
16600;800;56650
16709;800;57730
16819;800;57515
16926;800;57600
17033;800;57274
17144;800;57608
17252;800;57814
17364;800;58133
17473;800;58661
17581;800;58788
17690;800;59140
17799;800;60914
17907;800;61665
18008;800;61601
18111;800;61824
18221;800;62746
18330;800;62745
18439;800;63424
18547;800;63794
18655;800;63987
18767;800;64996
18877;800;67315
18987;800;67436
19095;800;67700
19206;800;67701
19315;800;68899
19424;800;68780
19534;800;69229
19645;800;69352
19756;800;69968
19868;800;69915
19976;800;70020
20087;800;71061
20196;800;71689
20307;800;72308
20416;800;73745
20527;800;74641
20635;800;75012
20742;800;75705
20850;800;76615
20961;800;77840
21066;800;77860
21177;800;78436
21287;800;78381
21397;800;79300
21508;800;78948
21616;800;79814
21725;800;80215
21833;800;79798
21940;800;79936
22050;800;80752
22158;800;81518
22267;800;81686
22375;800;82092
22485;800;82115
22592;800;81775
22703;800;82424
22812;800;82287
22920;800;82946
23029;800;84275
23137;800;84236
23247;800;83800
23356;800;83987
23468;800;84828
23577;800;85491
23686;800;85289
23798;800;85360
23907;800;84944
24016;800;85265
24126;800;84995
24237;800;86013
24344;800;87005
24456;800;87173
24568;800;86723
24676;800;87605
24788;800;89909
24898;800;90966
25005;800;90819
25116;800;90511
25226;800;91024
25335;800;90573
25444;800;90718
25553;800;90594
25663;800;92203
25771;800;93193
25881;800;94027
25989;800;93995
26097;800;95375
26207;800;94891
26318;800;95057
26428;800;95223
26535;800;95699
26646;800;95878
26754;800;95924
26863;800;97078
26974;800;97138
27080;800;97214
27189;800;97915
27299;800;98307
27408;800;99342
27517;800;99442
27626;800;101560
27735;800;101586
27843;800;101850
27954;800;101797
28063;800;102733
28174;800;104442
28282;800;104865
28391;800;104750
28500;800;104911
28610;800;104994
28718;800;105186
28828;800;105403
28936;800;105593
29045;800;107515
29153;800;108289
29263;800;108797
29371;800;108212
29480;800;107787
29587;800;107162
29695;800;106616
29802;800;106105
29909;800;105486
30018;800;104769
30127;800;104219
30236;800;103595
30344;800;102863
30453;800;102428
30563;800;101791
30671;800;101313
30781;800;100625
30888;800;100168
30997;800;99550
31107;800;98979
31215;800;98266
31324;800;97807
31435;800;97166
31546;800;96496
31652;800;95988
31762;800;95680
31871;800;95359
31980;800;94694
