Timestamp; Cola 1 expriados; Cola 1 quedan; Cola 2 expirados; Cola 2 quedan; Cola 3 expriados; Cola 3 quedan; Cola 4 expirados; Cola 4 quedan; Total Expirados; Cola Expirados
1027;0;50;0;99;0;134;0;717;0;0
2034;0;0;0;0;0;0;0;2000;0;0
3039;0;0;0;0;0;0;0;2029;0;0
4053;0;0;0;0;0;0;0;1937;0;0
5054;0;0;0;0;0;0;0;1834;0;0
6064;0;0;0;0;0;0;0;1521;0;0
7078;0;0;0;0;0;0;0;2521;0;0
8093;0;13;0;0;0;0;0;2862;0;0
9094;0;27;0;0;0;0;0;2635;0;0
10101;0;43;0;0;0;0;0;2619;0;0
11105;0;34;0;75;0;0;0;3213;0;0
12120;0;48;0;102;0;135;0;3885;0;0
13121;0;41;0;98;0;144;0;4780;0;0
14122;0;15;0;39;0;65;0;5292;0;0
15133;0;0;0;0;0;0;0;5199;0;0
16132;0;0;0;0;0;0;0;5087;0;0
17135;0;56;0;98;0;152;0;5781;0;0
18150;0;51;0;116;0;142;0;6778;0;0
19163;0;0;0;0;0;0;0;6811;0;0
20163;0;0;0;0;0;0;0;6191;0;0
21174;0;37;0;73;0;109;0;6737;0;0
22180;0;0;0;0;0;0;0;6849;0;0
23188;0;49;0;94;0;159;0;6959;0;0
24189;0;30;0;85;0;87;0;7347;0;0
25191;0;51;0;99;0;155;0;7883;0;0
26207;0;43;0;97;0;132;0;8799;0;0
27218;0;0;0;0;0;0;0;8430;0;0
28231;0;0;0;0;0;0;0;8375;0;0
29242;0;23;0;39;0;72;0;8518;0;0
30247;0;21;0;50;0;100;0;8007;0;0
31257;0;27;0;32;0;40;0;7398;0;0
32265;0;0;0;0;0;0;0;6857;0;0
33279;0;41;0;95;0;146;0;7013;0;0
34293;0;45;0;97;0;165;0;6988;0;0
35294;0;49;0;95;0;144;0;7056;0;0
36303;0;38;0;100;0;138;0;7265;0;0
37312;0;46;0;75;0;133;0;7383;0;0
38317;0;55;0;95;0;162;0;8325;0;0
39321;0;36;0;88;0;128;0;8676;0;0
40322;0;34;0;93;0;111;0;9155;0;0
41323;0;46;0;97;0;159;0;10091;0;0
42325;0;47;0;105;0;144;0;10889;0;0
43332;0;17;0;31;0;44;0;10852;0;0
44335;0;7;0;20;0;34;0;11065;0;0
45345;0;53;0;106;0;141;0;11556;0;0
46352;0;28;0;41;0;63;0;11438;0;0
47366;0;28;0;41;0;77;0;10895;0;0
48370;0;54;0;95;0;147;0;10745;0;0
49375;0;25;0;69;0;110;0;10979;0;0
50388;0;60;0;98;0;149;0;11876;0;0
51392;0;65;0;124;0;140;0;12854;0;0
52395;0;57;0;104;0;158;0;13864;0;0
53395;0;42;0;75;0;117;0;13936;0;0
54411;0;0;0;0;0;0;0;13631;0;0
55412;0;6;0;31;0;61;0;13846;0;0
56427;0;6;0;16;0;34;0;14070;0;0
57427;0;24;0;45;0;62;0;13769;0;0
58437;0;48;0;81;0;120;0;13886;0;0
59450;0;0;0;0;0;0;0;14131;0;0
60461;0;42;0;76;0;123;0;14558;0;0
61470;0;22;0;32;0;51;0;14113;0;0
62476;0;25;0;33;0;79;0;13540;0;0
63479;0;27;0;56;0;103;0;13150;0;0
64484;0;47;0;107;0;156;0;13400;0;0
65491;0;33;0;50;0;63;0;13705;0;0
66499;0;10;0;38;0;67;0;13152;0;0
67504;0;0;0;0;0;0;0;12688;0;0
68512;0;50;0;110;0;139;0;13307;0;0
69525;0;53;0;114;0;154;0;14285;0;0
70540;0;24;0;68;0;106;0;15062;0;0
71559;0;36;0;77;0;139;309;15336;309;309
72557;0;14;0;38;0;54;218;14634;218;527
73561;0;68;0;88;0;149;171;14971;171;698
74580;0;5;0;7;0;11;512;14853;512;1210
75562;0;46;0;100;0;162;0;15272;0;1210
76575;0;0;0;0;0;0;0;15027;0;1210
77581;0;0;0;0;0;0;0;14793;0;1210
78581;0;39;0;79;0;133;0;14944;0;1210
79588;0;21;0;45;0;71;0;14536;0;1210
80590;0;58;0;97;0;150;0;15368;0;1210
81590;0;42;0;97;0;150;0;16384;0;1210
82592;0;39;0;63;0;84;0;17148;0;1210
83607;0;44;0;71;0;122;0;17303;0;1210
84630;0;18;0;51;0;79;283;17101;283;1493
85625;0;29;0;48;0;93;0;16989;0;1493
86632;0;21;0;47;0;54;0;16464;0;1493
87637;0;29;0;54;0;92;0;16568;0;1493
88670;0;43;0;90;0;165;585;15860;585;2078
89677;0;52;0;107;0;130;525;15750;525;2603
90672;0;29;0;76;0;93;57;16160;57;2660
91668;0;39;0;71;0;119;0;15812;0;2660
92672;0;39;0;92;0;152;0;15619;0;2660
93707;0;0;0;0;0;0;508;15231;508;3168
94690;0;26;0;40;0;55;0;15023;0;3168
95700;0;0;0;0;0;0;189;14895;189;3357
96704;0;48;0;92;0;116;20;15326;20;3377
97706;0;41;0;112;0;136;0;16293;0;3377
98713;0;55;0;112;0;159;67;17085;67;3444
99708;0;0;0;0;0;0;0;17329;0;3444
100788;0;0;0;0;0;0;1932;15160;1932;5376
101717;0;0;0;0;0;0;0;14671;0;5376
102718;0;0;0;0;0;0;0;15441;0;5376
103748;0;0;0;0;0;0;385;16056;385;5761
104741;0;0;0;0;0;0;79;15560;79;5840
105741;0;0;0;0;0;0;0;15469;0;5840
106745;0;0;0;0;0;0;0;16101;0;5840
107749;0;0;0;0;0;0;0;16643;0;5840
108758;0;0;0;0;0;0;18;16609;18;5858
109800;0;0;0;0;0;0;754;16641;754;6612
110776;0;0;0;0;0;0;0;17346;0;6612
111784;0;0;0;0;0;0;0;17919;0;6612
112797;0;0;0;0;0;0;48;17611;48;6660
113799;0;0;0;0;0;0;0;18611;0;6660
114801;0;0;0;0;0;0;0;18510;0;6660
115832;0;0;0;0;0;0;514;18871;514;7174
116826;0;0;0;0;0;0;360;18225;360;7534
117837;0;8;0;0;0;0;627;17807;627;8161
118852;0;47;0;0;0;0;759;17902;759;8920
119823;0;0;0;0;0;0;0;17276;0;8920
120828;0;0;0;0;0;0;0;17274;0;8920
121830;0;55;0;103;0;149;0;17967;0;8920
122894;0;19;0;60;0;0;1203;16866;1203;10123
123845;0;48;0;119;0;154;0;17098;0;10123
124846;0;31;0;87;0;121;0;17286;0;10123
125859;0;44;0;93;0;137;0;17850;0;10123
126884;0;0;0;0;0;0;435;17431;435;10558
127876;0;0;0;0;0;0;0;17379;0;10558
128895;0;47;0;85;0;125;359;17583;359;10917
129902;0;22;0;41;0;55;467;16635;467;11384
130930;0;43;0;86;0;136;810;15852;810;12194
131911;0;42;0;91;0;135;0;16332;0;12194
132949;0;0;0;0;0;0;651;15526;651;12845
133932;0;27;0;33;0;77;40;15698;40;12885
134958;0;47;0;84;0;147;733;15799;733;13618
135944;0;46;0;104;0;152;13;16535;13;13631
136947;0;0;0;0;0;0;65;16250;65;13696
137961;0;32;0;50;0;81;26;16103;26;13722
138979;0;0;0;0;0;0;376;15886;376;14098
139979;0;52;0;123;0;149;0;16114;0;14098
141004;0;20;0;54;0;88;318;15909;318;14416
141996;0;43;0;90;0;152;61;16673;61;14477
143004;0;48;0;104;0;150;120;16897;120;14597
144020;0;57;0;93;0;156;247;16895;247;14844
145054;0;58;0;86;0;133;710;17214;710;15554
146058;0;30;0;79;0;101;514;16939;514;16068
147052;0;38;0;67;0;96;131;17521;131;16199
148059;0;43;0;82;0;118;0;17260;0;16199
149068;0;52;0;76;0;180;0;18195;0;16199
150082;0;55;0;92;0;170;0;19186;0;16199
151107;0;56;0;101;0;159;519;19011;519;16718
152124;0;53;0;96;0;150;645;19383;645;17363
153118;0;49;0;89;0;156;217;20171;217;17580
154141;0;49;0;94;0;141;552;20282;552;18132
155156;0;42;0;103;0;149;555;19907;555;18687
156153;0;51;0;99;0;170;494;20076;494;19181
157141;0;33;0;104;0;159;0;20741;0;19181
158150;0;47;0;107;0;146;0;21737;0;19181
159188;0;51;0;107;0;150;581;22148;581;19762
160189;0;34;0;91;0;133;576;22379;576;20338
161182;0;29;0;77;0;109;288;21953;288;20626
162186;0;55;0;99;0;166;173;21675;173;20799
163208;0;40;0;96;0;139;473;22247;473;21272
164206;0;47;0;108;0;145;403;22819;403;21675
165254;0;48;0;93;0;162;1223;22593;1223;22898
166194;0;0;0;0;0;0;113;22783;113;23011
167241;0;0;0;0;0;0;830;22953;830;23841
168199;0;0;0;0;0;0;0;22822;0;23841
169266;0;0;0;0;0;0;1205;21169;1205;25046
170232;0;0;0;0;0;0;297;21635;297;25343
171322;0;0;0;0;0;0;1813;19796;1813;27156
172247;0;0;0;0;0;0;227;20569;227;27383
173265;0;0;0;0;0;0;326;21205;326;27709
174263;0;0;0;0;0;0;76;20931;76;27785
175286;0;0;0;0;0;0;442;20296;442;28227
176267;0;0;0;0;0;0;0;20226;0;28227
177319;0;0;0;0;0;0;883;19956;883;29110
178345;0;0;0;0;0;0;1233;19479;1233;30343
179314;0;0;0;0;0;0;578;19532;578;30921
180300;0;0;0;0;0;0;227;19386;227;31148
181313;0;0;0;0;0;0;180;20138;180;31328
182406;0;0;0;0;0;0;2096;18331;2096;33424
183342;0;0;0;0;0;0;734;17974;734;34158
184325;0;0;0;0;0;0;0;18780;0;34158
185370;0;0;0;0;0;0;932;18777;932;35090
186351;0;0;0;0;0;0;313;18464;313;35403
187342;0;0;0;0;0;0;43;18307;43;35446
188354;0;0;0;0;0;0;0;18046;0;35446
189367;0;0;0;0;0;0;287;18341;287;35733
190362;0;0;0;0;0;0;0;17863;0;35733
191372;0;0;0;0;0;0;93;17462;93;35826
192432;0;35;0;0;0;0;1231;16809;1231;37057
193394;0;49;0;0;0;0;0;17334;0;37057
194408;0;38;0;85;0;116;0;17703;0;37057
195419;0;37;0;93;0;135;0;18161;0;37057
196428;0;37;0;81;0;125;0;17963;0;37057
197490;0;17;0;42;0;66;1011;17520;1011;38068
198448;0;59;0;92;0;146;0;18348;0;38068
199478;0;13;0;15;0;0;357;18489;357;38425
200535;0;49;0;103;0;0;1430;17518;1430;39855
