Timestamp; Pedidos por  Dispatcher; Leidos por Dispatcher; Cola Leida; Quedan Cola P1; Quedan Cola P2; Quedan Cola P3; Quedan Cola P4, Quedan Cola Expirados
1629;533;161;1;0;303;441;2095;0
1637;639;303;2;0;0;441;2095;0
1640;469;441;3;0;0;0;2095;0
1643;95;95;4;0;0;0;2000;0
2603;533;51;1;0;106;129;2743;0
2606;749;106;2;0;0;129;2743;0
2609;776;129;3;0;0;0;2743;0
2612;714;714;4;0;0;0;2029;0
3603;533;41;1;0;91;128;2677;0
3606;759;91;2;0;0;128;2677;0
3611;740;740;4;0;0;0;1937;0
3609;801;128;3;0;0;0;2677;0
4615;533;42;1;0;87;150;2555;0
4618;758;87;2;0;0;150;2555;0
4620;804;150;3;0;0;0;2555;0
4621;721;721;4;0;0;0;1834;0
5622;533;33;1;0;75;114;2299;0
5624;767;75;2;0;0;114;2299;0
5626;825;114;3;0;0;0;2299;0
5627;778;778;4;0;0;0;1521;0
6636;533;79;1;0;209;290;2943;0
6638;721;209;2;0;0;290;2943;0
6641;645;290;3;0;0;0;2943;0
6643;422;422;4;0;0;0;2521;0
7640;533;58;1;0;88;164;3211;0
7643;742;124;2;13;0;221;3459;0
7646;751;221;3;13;0;0;3459;0
7648;597;597;4;13;0;0;2862;0
8642;533;37;1;0;41;54;3168;0
8646;763;76;2;27;0;98;3424;0
8647;820;98;3;27;0;0;3424;0
8649;789;789;4;27;0;0;2635;0
9647;533;27;1;0;0;0;2635;0
9651;773;105;2;43;0;145;3342;0
9653;801;145;3;43;0;0;3342;0
9655;723;723;4;43;0;0;2619;0
10651;533;90;1;0;95;157;3320;0
10655;710;95;2;0;0;157;3320;0
10659;748;275;3;34;75;0;3753;0
10662;540;540;4;34;75;0;3213;0
11653;533;91;1;0;159;133;3849;0
11656;709;159;2;0;0;133;3849;0
11659;683;133;3;0;0;0;3849;0
11661;617;617;4;0;0;0;3232;0
12664;533;95;1;0;189;277;4541;0
12666;705;189;2;0;0;277;4541;0
12667;649;277;3;0;0;0;4541;0
12670;439;439;4;0;0;0;4102;0
13670;533;91;1;0;199;290;5443;0
13672;709;199;2;0;0;290;5443;0
13675;643;290;3;0;0;0;5443;0
13676;420;420;4;0;0;0;5023;0
14678;533;60;1;0;127;161;5851;0
14681;740;127;2;0;0;161;5851;0
14684;746;161;3;0;0;0;5851;0
14688;652;652;4;0;0;0;5199;0
15692;533;44;1;0;76;161;5806;0
15694;756;76;2;0;0;161;5806;0
15696;813;161;3;0;0;0;5806;0
15698;719;719;4;0;0;0;5087;0
16699;533;52;1;0;115;150;5770;0
16701;748;115;2;0;0;150;5770;0
16703;766;150;3;0;0;0;5770;0
