Timestamp; Q1; Q2; Q3; Q4; Expirados
575;50;99;134;717;0
1028;50;99;134;717;0
1035;106;195;283;1416;0
1552;161;303;441;2095;0
2035;0;0;0;2000;0
2053;0;2;2;2025;0
2560;51;106;129;2743;0
3040;0;0;0;2029;0
3058;3;11;14;2122;0
3575;41;91;128;2677;0
4054;0;0;0;1937;0
4087;0;0;0;1937;0
4607;42;87;150;2555;0
5056;0;0;0;1834;0
5107;0;0;0;1834;0
5612;33;75;114;2299;0
6066;0;0;0;1521;0
6117;44;98;150;2229;0
6627;79;209;290;2943;0
7081;0;0;0;2521;0
7130;58;88;164;3211;0
7642;13;124;221;3459;0
8094;13;0;0;2862;0
8144;37;41;54;3168;0
8645;27;76;98;3424;0
9095;27;0;0;2635;0
9145;27;0;0;2635;0
9650;43;105;145;3342;0
10102;43;0;0;2619;0
10155;90;95;157;3320;0
10658;34;75;275;3753;0
11106;34;75;0;3213;0
11173;91;159;133;3849;0
11686;48;102;135;3885;0
12121;48;102;135;3885;0
12189;95;189;277;4541;0
12697;41;98;144;4780;0
13122;41;98;144;4780;0
13207;91;199;290;5443;0
13718;15;39;65;5292;0
14122;15;39;65;5292;0
14220;60;127;161;5851;0
14725;0;0;0;5199;0
15134;0;0;0;5199;0
15231;44;76;161;5806;0
15741;0;0;0;5087;0
16134;0;0;0;5087;0
16246;52;115;150;5770;0
16748;56;98;152;5781;0
17137;56;98;152;5781;0
17252;98;188;298;6503;0
17763;51;116;142;6778;0
18151;51;116;142;6778;0
18268;81;191;263;7276;0
18775;0;0;0;6811;0
19165;0;0;0;6811;0
19283;14;36;59;7082;0
19787;0;0;0;6191;0
20164;0;0;0;6191;0
20293;51;100;164;6876;0
20795;37;73;109;6737;0
21176;37;73;109;6737;0
21308;104;171;226;7348;0
21809;0;0;0;6849;0
22181;0;0;0;6849;0
22327;21;37;60;7143;0
22824;49;94;159;6959;0
23189;49;94;159;6959;0
23335;81;157;259;7367;0
23834;30;85;87;7347;0
24190;30;85;87;7347;0
24336;67;160;177;7784;0
24848;51;99;155;7883;0
25193;51;99;155;7883;0
25351;94;194;319;8581;0
25867;43;97;132;8799;0
26208;43;97;132;8799;0
26373;57;143;181;9049;0
26875;0;0;0;8430;0
27219;0;0;0;8430;0
27377;39;97;142;9097;0
27892;0;0;0;8375;0
28233;0;0;0;8375;0
28398;38;83;103;8943;0
28902;23;39;72;8518;0
29243;23;39;72;8518;0
29403;23;39;72;8518;0
29907;21;50;100;8007;0
30248;21;50;100;8007;0
30410;21;50;100;8007;0
30911;27;32;40;7398;0
31258;27;32;40;7398;0
31418;46;75;82;7654;0
31921;0;0;0;6857;0
32266;0;0;0;6857;0
32426;24;55;65;7195;0
32928;41;95;146;7013;0
33281;41;95;146;7013;0
33439;41;95;146;7013;0
33956;45;97;165;6988;0
34294;45;97;165;6988;0
34459;48;98;173;7025;0
34964;49;95;144;7056;0
35295;49;95;144;7056;0
35470;56;116;172;7197;0
35974;38;100;138;7265;0
36305;38;100;138;7265;0
36484;50;125;172;7413;0
36986;46;75;133;7383;0
37314;46;75;133;7383;0
37490;86;179;296;8076;0
37991;55;95;162;8325;0
38319;55;95;162;8325;0
38497;63;134;215;8558;0
38999;36;88;128;8676;0
39323;36;88;128;8676;0
39498;65;164;220;9134;0
39998;34;93;111;9155;0
40323;34;93;111;9155;0
40514;80;194;263;9856;0
41014;46;97;159;10091;0
41324;46;97;159;10091;0
41518;83;176;284;10642;0
42017;47;105;144;10889;0
42327;47;105;144;10889;0
42518;64;154;212;11170;0
43020;17;31;44;10852;0
43333;17;31;44;10852;0
43529;79;118;203;11544;0
44039;7;20;34;11065;0
44337;7;20;34;11065;0
44546;38;96;131;11591;0
45052;53;106;141;11556;0
45347;53;106;141;11556;0
45553;68;141;187;11747;0
46058;28;41;63;11438;0
46353;28;41;63;11438;0
46562;28;41;63;11438;0
47077;28;41;77;10895;0
47368;28;41;77;10895;0
47589;28;41;77;10895;0
48093;54;95;147;10745;0
48372;54;95;147;10745;0
48608;77;145;213;11097;0
49108;25;69;110;10979;0
49377;25;69;110;10979;0
49617;73;163;269;11678;0
50122;60;98;149;11876;0
50390;60;98;149;11876;0
50630;107;194;295;12587;0
