Timestamp;  Q1 expired; Q1 remaining; Q2 expired; Q2 remaining; Q3 expired; Q3 remaining; Q4 expired; Q4 remaining; Total expired ; Expired queue
1022;0;31;0;74;0;114;0;587;0;0
2034;0;20;0;39;0;75;0;586;0;0
3046;0;24;0;50;0;79;0;345;0;0
4058;0;29;0;60;0;87;0;594;0;0
5061;0;41;0;0;0;0;0;382;0;0
6071;0;94;0;78;0;136;0;904;0;0
7082;0;45;0;118;0;125;0;861;0;0
8096;0;25;0;44;0;81;0;461;0;0
9109;0;66;0;141;0;47;0;705;0;0
10120;0;75;0;152;0;151;0;1087;0;0
11135;0;35;0;91;0;120;0;1052;0;0
12146;0;77;0;155;0;125;0;1402;0;0
13147;0;67;0;150;0;225;0;1793;0;0
14154;0;45;0;81;0;139;0;1937;0;0
15155;0;41;0;113;0;177;0;2117;0;0
16167;0;72;0;153;0;180;0;2505;0;0
17180;0;83;0;195;0;315;0;3317;0;0
18189;0;58;0;97;0;133;0;3527;0;0
19202;0;48;0;83;0;136;0;3448;0;0
20215;0;66;0;151;0;207;0;3745;0;0
21230;0;66;0;129;0;203;0;4175;0;0
22240;0;66;0;190;0;259;0;4817;0;0
23250;0;71;0;125;0;199;0;5320;0;0
24253;0;117;0;199;0;275;0;6124;0;0
25253;0;83;0;168;0;287;0;7003;0;0
26265;0;69;0;112;0;166;0;7343;0;0
27267;0;26;0;42;0;75;0;7058;0;0
28275;0;45;0;105;0;158;0;6893;0;0
29287;0;81;0;214;0;316;0;7590;0;0
30298;0;88;0;181;0;274;0;8555;0;0
31307;0;43;0;81;0;123;0;8684;0;0
32320;0;54;0;106;0;148;0;8623;0;0
33325;0;85;0;179;0;283;0;9262;0;0
34338;0;73;0;139;0;198;0;9783;0;0
35342;0;109;0;191;0;277;0;10374;0;0
36357;0;85;0;188;0;273;0;11290;0;0
37369;0;70;0;129;0;170;0;11724;0;0
38380;0;65;0;123;0;208;0;12018;0;0
39392;0;54;0;97;0;138;0;12125;0;0
40404;0;65;0;107;0;160;0;12268;0;0
41417;0;75;0;189;0;264;0;12909;0;0
42429;0;110;0;197;0;255;0;13790;0;0
43444;0;115;0;210;0;285;0;14742;0;0
44458;0;61;0;108;0;185;0;15138;0;0
45460;0;46;0;106;0;135;0;15107;0;0
46475;0;78;0;150;0;226;0;15477;0;0
47488;0;23;0;51;0;74;0;15290;0;0
48502;0;96;0;194;0;286;0;15722;0;0
49502;0;44;0;67;0;87;0;15714;0;0
50515;0;27;0;29;0;40;0;15136;0;0
51516;0;65;0;146;0;216;0;15171;0;0
52520;0;60;0;141;0;193;0;15448;0;0
53534;0;47;0;99;0;127;0;15515;0;0
54547;0;61;0;145;0;221;0;15756;0;0
55560;0;80;0;185;0;235;0;16367;0;0
