Timestamp; Requests by Dispatcher; Read by Dispatcher; Read Queue;  Remaining Q1; Remaining Q2; Remaining Q3; Remaining Q4; Remaining queue expired
1077;533;57;1;Remaining Q0;Remaining Q107;Remaining Q168;Remaining Q899;0
1084;743;107;2;Remaining Q0;Remaining Q0;Remaining Q168;Remaining Q899;0
1088;769;168;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q899;0
1090;668;668;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q231;0
2052;533;20;1;Remaining Q0;Remaining Q39;Remaining Q75;Remaining Q586;0
2054;780;39;2;Remaining Q0;Remaining Q0;Remaining Q75;Remaining Q586;0
2058;874;75;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q586;0
2061;866;586;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q0;0
2064;280;0;0;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q0;0
3065;533;66;1;Remaining Q0;Remaining Q114;Remaining Q174;Remaining Q845;0
3069;734;114;2;Remaining Q0;Remaining Q0;Remaining Q174;Remaining Q845;0
3070;753;174;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q845;0
3072;646;646;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q199;0
4075;533;29;1;Remaining Q0;Remaining Q60;Remaining Q87;Remaining Q594;0
4077;771;124;2;Remaining Q41;Remaining Q0;Remaining Q185;Remaining Q1044;0
4079;780;185;3;Remaining Q41;Remaining Q0;Remaining Q0;Remaining Q1044;0
4081;662;662;4;Remaining Q41;Remaining Q0;Remaining Q0;Remaining Q382;0
5078;533;41;1;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q382;0
5080;759;94;2;Remaining Q47;Remaining Q0;Remaining Q132;Remaining Q1011;0
5082;798;132;3;Remaining Q47;Remaining Q0;Remaining Q0;Remaining Q1011;0
5083;733;733;4;Remaining Q47;Remaining Q0;Remaining Q0;Remaining Q278;0
6088;533;94;1;Remaining Q0;Remaining Q78;Remaining Q136;Remaining Q904;0
6091;761;136;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q904;0
6090;706;78;2;Remaining Q0;Remaining Q0;Remaining Q136;Remaining Q904;0
6093;692;692;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q212;0
7098;533;45;1;Remaining Q0;Remaining Q118;Remaining Q125;Remaining Q861;0
7102;770;125;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q861;0
7100;755;118;2;Remaining Q0;Remaining Q0;Remaining Q125;Remaining Q861;0
7105;712;712;4;Remaining Q25;Remaining Q44;Remaining Q81;Remaining Q461;0
8113;533;25;1;Remaining Q0;Remaining Q44;Remaining Q81;Remaining Q461;0
8115;775;44;2;Remaining Q0;Remaining Q0;Remaining Q81;Remaining Q461;0
8117;864;229;3;Remaining Q45;Remaining Q98;Remaining Q0;Remaining Q1170;0
8125;702;702;4;Remaining Q45;Remaining Q98;Remaining Q0;Remaining Q468;0
9127;533;66;1;Remaining Q0;Remaining Q141;Remaining Q47;Remaining Q705;0
9129;734;141;2;Remaining Q0;Remaining Q0;Remaining Q47;Remaining Q705;0
9131;726;113;3;Remaining Q17;Remaining Q48;Remaining Q0;Remaining Q1080;0
9133;680;680;4;Remaining Q17;Remaining Q48;Remaining Q0;Remaining Q400;0
10137;533;75;1;Remaining Q0;Remaining Q152;Remaining Q151;Remaining Q1087;0
10139;725;152;2;Remaining Q0;Remaining Q0;Remaining Q151;Remaining Q1087;0
10141;706;151;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1087;0
10144;622;622;4;Remaining Q35;Remaining Q91;Remaining Q120;Remaining Q1052;0
11152;533;35;1;Remaining Q0;Remaining Q91;Remaining Q120;Remaining Q1052;0
11154;765;91;2;Remaining Q0;Remaining Q0;Remaining Q120;Remaining Q1052;0
11156;807;216;3;Remaining Q37;Remaining Q72;Remaining Q0;Remaining Q1508;0
11158;658;658;4;Remaining Q37;Remaining Q72;Remaining Q0;Remaining Q850;0
12162;533;77;1;Remaining Q0;Remaining Q155;Remaining Q125;Remaining Q1402;0
12164;723;155;2;Remaining Q0;Remaining Q0;Remaining Q125;Remaining Q1402;0
12165;701;125;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1402;0
12168;643;643;4;Remaining Q41;Remaining Q74;Remaining Q120;Remaining Q1333;0
13163;533;67;1;Remaining Q0;Remaining Q150;Remaining Q225;Remaining Q1793;0
13165;733;150;2;Remaining Q0;Remaining Q0;Remaining Q225;Remaining Q1793;0
13166;716;225;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1793;0
13168;558;558;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1235;0
14171;533;45;1;Remaining Q0;Remaining Q81;Remaining Q139;Remaining Q1937;0
14172;755;81;2;Remaining Q0;Remaining Q0;Remaining Q139;Remaining Q1937;0
14174;807;139;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1937;0
14176;735;735;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1202;0
15172;533;41;1;Remaining Q0;Remaining Q113;Remaining Q177;Remaining Q2117;0
15174;759;113;2;Remaining Q0;Remaining Q0;Remaining Q177;Remaining Q2117;0
15175;779;177;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2117;0
15178;669;669;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1448;0
16184;533;72;1;Remaining Q0;Remaining Q153;Remaining Q180;Remaining Q2505;0
16185;728;153;2;Remaining Q0;Remaining Q0;Remaining Q180;Remaining Q2505;0
16187;708;180;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2505;0
16189;595;595;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1910;0
17197;533;83;1;Remaining Q0;Remaining Q195;Remaining Q315;Remaining Q3317;0
17198;717;195;2;Remaining Q0;Remaining Q0;Remaining Q315;Remaining Q3317;0
17200;655;315;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q3317;0
17202;407;407;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2910;0
18207;533;58;1;Remaining Q0;Remaining Q97;Remaining Q133;Remaining Q3527;0
18208;742;97;2;Remaining Q0;Remaining Q0;Remaining Q133;Remaining Q3527;0
18211;778;133;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q3527;0
18214;712;712;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2815;0
19219;533;48;1;Remaining Q0;Remaining Q83;Remaining Q136;Remaining Q3448;0
19221;752;83;2;Remaining Q0;Remaining Q0;Remaining Q136;Remaining Q3448;0
19222;802;136;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q3448;0
19224;733;733;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2715;0
20232;533;66;1;Remaining Q0;Remaining Q151;Remaining Q207;Remaining Q3745;0
20235;734;151;2;Remaining Q0;Remaining Q0;Remaining Q207;Remaining Q3745;0
20237;716;207;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q3745;0
20240;576;576;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q3169;0
21246;533;66;1;Remaining Q0;Remaining Q129;Remaining Q203;Remaining Q4175;0
21248;734;129;2;Remaining Q0;Remaining Q0;Remaining Q203;Remaining Q4175;0
21250;738;203;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q4175;0
21252;602;602;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q3573;0
22257;533;66;1;Remaining Q0;Remaining Q190;Remaining Q259;Remaining Q4817;0
22258;734;190;2;Remaining Q0;Remaining Q0;Remaining Q259;Remaining Q4817;0
22260;677;259;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q4817;0
22263;485;485;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q4332;0
23267;533;71;1;Remaining Q0;Remaining Q125;Remaining Q199;Remaining Q5320;0
23269;729;125;2;Remaining Q0;Remaining Q0;Remaining Q199;Remaining Q5320;0
23270;737;199;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q5320;0
23273;605;605;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q4715;0
24271;533;117;1;Remaining Q0;Remaining Q199;Remaining Q275;Remaining Q6124;0
