Timestamp;  Q1; Q2; Q3; Q4; Q Expirados
561;31;74;114;587;;0
1023;31;74;114;587;;0
1030;57;107;168;899;;0
1541;20;39;75;586;;0
2035;20;39;75;586;;0
2554;24;50;79;345;;0
3047;24;50;79;345;;0
3053;66;114;174;845;;0
3568;29;60;87;594;;0
4059;29;60;87;594;;0
4076;41;124;185;1044;;0
5062;41;0;0;382;;0
5080;47;94;132;1011;;0
5595;94;78;136;904;;0
6072;94;78;136;904;;0
6605;45;118;125;861;;0
7083;45;118;125;861;;0
7104;25;44;81;1173;;0
8097;25;44;81;461;;0
8116;45;98;229;1170;;0
8630;66;141;47;705;;0
9109;66;141;47;705;;0
9131;17;48;113;1080;;0
9645;75;152;151;1087;;0
10121;75;152;151;1087;;0
10143;35;91;120;1674;;0
11136;35;91;120;1052;;0
11156;37;72;216;1508;;0
11671;77;155;125;1402;;0
12148;77;155;125;1402;;0
12168;41;74;120;1976;;0
12681;67;150;225;1793;;0
13148;67;150;225;1793;;0
13695;45;81;139;1937;;0
14155;45;81;139;1937;;0
14204;17;50;88;1583;;0
14705;41;113;177;2117;;0
15156;41;113;177;2117;;0
15204;28;44;62;1776;;0
15720;72;153;180;2505;;0
16169;72;153;180;2505;;0
16234;45;101;164;2600;;0
16744;83;195;315;3317;;0
17181;83;195;315;3317;;0
17244;21;33;51;3151;;0
17756;58;97;133;3527;;0
18191;58;97;133;3527;;0
18258;48;83;136;3448;;0
19203;48;83;136;3448;;0
19287;30;69;84;3132;;0
19800;66;151;207;3745;;0
20215;66;151;207;3745;;0
20313;47;89;154;3879;;0
20811;66;129;203;4175;;0
21232;66;129;203;4175;;0
21328;39;112;144;4278;;0
21839;66;190;259;4817;;0
22241;66;190;259;4817;;0
22339;33;63;112;4850;;0
22849;71;125;199;5320;;0
23251;71;125;199;5320;;0
23349;66;94;147;5408;;0
23850;117;199;275;6124;;0
24254;117;199;275;6124;;0
24352;43;71;131;6296;;0
24868;83;168;287;7003;;0
25254;83;168;287;7003;;0
25368;50;73;108;7052;;0
25880;69;112;166;7343;;0
26266;69;112;166;7343;;0
26899;26;42;75;7058;;0
27268;26;42;75;7058;;0
27925;45;105;158;6893;;0
28276;45;105;158;6893;;0
28435;44;98;168;6891;;0
28950;81;214;316;7590;;0
29288;81;214;316;7590;;0
29463;47;108;149;7897;;0
29976;88;181;274;8555;;0
30299;88;181;274;8555;;0
31005;43;81;123;8684;;0
31309;43;81;123;8684;;0
32027;54;106;148;8623;;0
32322;54;106;148;8623;;0
32542;43;82;155;8651;;0
33050;85;179;283;9262;;0
33326;85;179;283;9262;;0
33549;48;71;97;9276;;0
34061;73;139;198;9783;;0
34339;73;139;198;9783;;0
34574;61;107;143;9822;;0
35083;109;191;277;10374;;0
35344;109;191;277;10374;;0
35596;34;95;121;10586;;0
36098;85;188;273;11290;;0
36358;85;188;273;11290;;0
36610;49;105;136;11546;;0
37122;70;129;170;11724;;0
37371;70;129;170;11724;;0
37638;23;41;85;11431;;0
38150;65;123;208;12018;;0
38381;65;123;208;12018;;0
39179;54;97;138;12125;;0
39393;54;97;138;12125;;0
39694;51;93;130;12140;;0
40205;65;107;160;12268;;0
40405;65;107;160;12268;;0
40708;33;86;129;12189;;0
41219;75;189;264;12909;;0
41418;75;189;264;12909;;0
41737;55;112;137;13133;;0
42246;110;197;255;13790;;0
42430;110;197;255;13790;;0
42759;58;92;139;14063;;0
43262;115;210;285;14742;;0
43445;115;210;285;14742;;0
43759;12;30;41;14577;;0
44274;61;108;185;15138;;0
44459;61;108;185;15138;;0
44776;46;106;135;15107;;0
45461;46;106;135;15107;;0
45790;31;59;111;14831;;0
46291;78;150;226;15477;;0
46476;78;150;226;15477;;0
47305;23;51;74;15290;;0
47490;23;51;74;15290;;0
47816;47;96;128;15032;;0
48333;96;194;286;15722;;0
48503;96;194;286;15722;;0
49348;44;67;87;15714;;0
49503;44;67;87;15714;;0
50365;27;29;40;15136;;0
50516;27;29;40;15136;;0
50863;31;66;121;14687;;0
51381;65;146;216;15171;;0
51518;65;146;216;15171;;0
51882;32;80;118;15079;;0
52383;60;141;193;15448;;0
52521;60;141;193;15448;;0
53396;47;99;127;15515;;0
53536;47;99;127;15515;;0
53896;40;100;177;15471;;0
54413;61;145;221;15756;;0
54549;61;145;221;15756;;0
54927;38;72;100;15657;;0
55442;80;185;235;16367;;0
55560;80;185;235;16367;;0
55957;54;113;167;16533;;0
56470;104;204;289;17270;;0
