Timestamp; Priority1;Priority2;Priority3;Priority4;Total read
1069;31;74;114;587;806;
2031;57;107;168;899;1231;
3044;101;196;322;1599;2218;
4057;156;292;465;2305;3218;
5069;213;384;602;2944;4143;
6072;260;478;734;3573;5045;
7080;309;566;885;4285;6045;
8094;365;692;1031;4957;7045;
9107;410;793;1177;5665;8045;
10119;455;889;1317;6384;9045;
11129;513;1000;1470;7062;10045;
12129;553;1104;1612;7776;11045;
13138;610;1205;1772;8458;12045;
14153;661;1313;1909;9162;13045;
15163;700;1414;2067;9864;14045;
16165;747;1501;2212;10585;15045;
17174;780;1591;2354;11320;16045;
18186;832;1684;2472;12057;17045;
19200;869;1800;2621;12755;18045;
20210;918;1883;2786;13458;19045;
21225;963;1990;2927;14165;20045;
22234;1024;2089;3069;14863;21045;
23248;1075;2198;3218;15554;22045;
24260;1117;2292;3367;16269;23045;
25262;1166;2382;3513;16984;24045;
26263;1205;2505;3649;17686;25045;
27277;1241;2598;3801;18405;26045;
28291;1290;2685;3948;19122;27045;
29297;1350;2778;4090;19827;28045;
30312;1402;2880;4230;20533;29045;
31323;1460;2976;4373;21236;30045;
32332;1507;3070;4525;21943;31045;
33340;1564;3166;4679;22636;32045;
34354;1614;3258;4827;23346;33045;
35362;1657;3359;4981;24048;34045;
36366;1702;3463;5150;24730;35045;
37380;1737;3577;5300;25431;36045;
38390;1788;3679;5442;26136;37045;
39404;1833;3767;5597;26848;38045;
40418;1892;3876;5729;27548;39045;
41430;1935;3960;5893;28257;40045;
42440;1978;4060;6033;28974;41045;
43454;2041;4165;6178;29661;42045;
44454;2085;4266;6322;30372;43045;
45469;2149;4382;6480;31034;44045;
46483;2200;4480;6630;31735;45045;
47485;2248;4582;6794;32421;46045;
48496;2295;4680;6925;33145;47045;
49506;2354;4783;7058;33850;48045;
50514;2402;4874;7220;34549;49045;
51526;2456;4970;7354;35265;50045;
52527;2507;5067;7488;35983;51045;
53541;2552;5158;7646;36689;52045;
54543;2592;5266;7776;37411;53045;
55556;2646;5376;7924;38099;54045;
56570;2709;5469;8047;38820;55045;
57581;2767;5560;8185;39533;56045;
58592;2824;5679;8333;40209;57045;
59607;2875;5768;8488;40914;58045;
60620;2928;5884;8649;41584;59045;
61625;2976;5991;8797;42281;60045;
62631;3024;6087;8939;42995;61045;
63643;3082;6194;9085;43684;62045;
64655;3132;6292;9247;44374;63045;
65667;3203;6394;9385;45063;64045;
66684;3249;6506;9548;45742;65045;
67697;3297;6615;9703;46430;66045;
68709;3347;6722;9841;47135;67045;
69723;3396;6819;10003;47827;68045;
70725;3442;6929;10147;48527;69045;
71733;3489;7047;10279;49230;70045;
72748;3540;7149;10434;49922;71045;
73761;3589;7254;10576;50626;72045;
74769;3632;7357;10707;51349;73045;
75784;3681;7464;10862;52038;74045;
76786;3731;7577;10993;52744;75045;
77794;3783;7681;11152;53429;76045;
78798;3826;7774;11315;54130;77045;
79811;3876;7879;11457;54833;78045;
80813;3926;7960;11614;55545;79045;
81822;3975;8056;11782;56232;80045;
82826;4028;8148;11928;56941;81045;
83829;4074;8275;12074;57622;82045;
84832;4137;8370;12227;58311;83045;
85846;4208;8472;12358;59007;84045;
86863;4254;8571;12512;59708;85045;
87875;4303;8661;12664;60417;86045;
88892;4339;8765;12823;61118;87045;
89904;4387;8856;12967;61835;88045;
90904;4441;8968;13113;62523;89045;
91917;4501;9063;13248;63233;90045;
92932;4555;9157;13431;63902;91045;
93935;4612;9268;13584;64581;92045;
94950;4671;9383;13726;65265;93045;
95966;4723;9479;13888;65955;94045;
96965;4778;9569;14043;66655;95045;
97975;4822;9666;14190;67367;96045;
98987;4874;9771;14351;68049;97045;
100005;4929;9868;14501;68747;98045;
101017;4968;9978;14665;69434;99045;
102030;5018;10084;14810;70133;100045;
103045;5074;10188;14975;70808;101045;
104059;5126;10293;15117;71509;102045;
105059;5170;10392;15271;72212;103045;
106063;5210;10495;15418;72922;104045;
107073;5259;10593;15567;73626;105045;
108078;5307;10677;15731;74330;106045;
109091;5356;10782;15885;75022;107045;
110105;5407;10876;16035;75727;108045;
111120;5450;10976;16191;76428;109045;
112123;5501;11106;16342;77096;110045;
113124;5541;11207;16501;77796;111045;
114136;5603;11293;16665;78484;112045;
115138;5668;11380;16797;79200;113045;
116152;5722;11479;16956;79888;114045;
117158;5768;11577;17089;80611;115045;
118166;5814;11673;17250;81308;116045;
119178;5861;11758;17396;82030;117045;
120183;5907;11863;17517;82758;118045;
121193;5959;11966;17671;83449;119045;
122191;6009;12066;17822;84148;120045;
123202;6068;12157;17982;84838;121045;
124215;6128;12283;18110;85524;122045;
125231;6167;12380;18254;86244;123045;
126239;6216;12472;18392;86965;124045;
127243;6280;12581;18526;87658;125045;
128254;6337;12677;18671;88360;126045;
129266;6389;12780;18813;89063;127045;
130281;6441;12881;18945;89778;128045;
131293;6499;12979;19090;90477;129045;
132306;6541;13086;19238;91180;130045;
133304;6585;13181;19399;91880;131045;
134319;6641;13280;19555;92569;132045;
135333;6680;13398;19708;93259;133045;
136340;6735;13500;19860;93950;134045;
137342;6790;13605;19997;94653;135045;
138355;6861;13708;20131;95345;136045;
139357;6903;13806;20266;96070;137045;
140367;6949;13904;20433;96759;138045;
141383;7006;14003;20596;97440;139045;
142383;7050;14109;20747;98139;140045;
143400;7114;14189;20906;98836;141045;
144413;7160;14274;21074;99537;142045;
145426;7208;14367;21214;100256;143045;
146429;7263;14469;21366;100947;144045;
147442;7320;14551;21529;101645;145045;
148453;7375;14652;21666;102352;146045;
149465;7429;14763;21801;103052;147045;
150476;7481;14882;21953;103729;148045;
151490;7533;14992;22106;104414;149045;
152503;7577;15102;22251;105115;150045;
153517;7631;15205;22376;105833;151045;
154530;7677;15314;22534;106520;152045;
155532;7731;15412;22675;107227;153045;
156545;7782;15504;22818;107941;154045;
157553;7829;15617;22950;108649;155045;
158567;7875;15733;23100;109337;156045;
159586;7919;15830;23265;110031;157045;
160585;7971;15917;23424;110733;158045;
161596;8025;16004;23568;111448;159045;
162606;8072;16108;23703;112162;160045;
163622;8115;16209;23862;112859;161045;
164624;8158;16304;24013;113570;162045;
165629;8222;16411;24171;114241;163045;
166634;8280;16522;24333;114910;164045;
167651;8334;16623;24466;115622;165045;
168667;8381;16723;24619;116322;166045;
169675;8432;16827;24770;117016;167045;
170684;8484;16928;24901;117732;168045;
171691;8535;17018;25081;118411;169045;
172697;8572;17129;25235;119109;170045;
173706;8619;17230;25374;119822;171045;
174714;8655;17345;25527;120518;172045;
175729;8707;17442;25684;121212;173045;
176730;8760;17531;25842;121912;174045;
177742;8815;17640;25982;122608;175045;
178755;8855;17726;26118;123346;176045;
179769;8905;17817;26258;124065;177045;
180772;8954;17909;26416;124766;178045;
