Timestamp; Priority1;Priority2;Priority3;Priority4;Total read
2042;57;107;168;668;1000;
3052;77;146;243;1254;1720;
4067;143;260;417;1900;2720;
5079;172;384;602;2562;3720;
6082;213;478;734;3295;4720;
7090;307;556;870;3987;5720;
8101;352;674;995;4699;6720;
9119;377;718;1224;5401;7720;
10128;443;859;1337;6081;8720;
11140;518;1011;1488;6703;9720;
12141;553;1102;1704;7361;10720;
13147;630;1257;1829;8004;11720;
14164;697;1407;2054;8562;12720;
15174;742;1488;2193;9297;13720;
16173;783;1601;2370;9966;14720;
17185;855;1754;2550;10561;15720;
18197;938;1949;2865;10968;16720;
19213;996;2046;2998;11680;17720;
20219;1044;2129;3134;12413;18720;
21232;1110;2280;3341;12989;19720;
22246;1176;2409;3544;13591;20720;
23258;1242;2599;3803;14076;21720;
24268;1313;2724;4002;14681;22720;
25272;1430;2923;4277;15090;23720;
26285;1513;3091;4564;15552;24720;
27302;1582;3203;4730;16205;25720;
28314;1608;3245;4805;17062;26720;
29321;1653;3350;4963;17754;27720;
30336;1734;3564;5279;18143;28720;
31350;1822;3745;5553;18600;29720;
32355;1865;3826;5676;19353;30720;
33364;1919;3932;5824;20045;31720;
34378;2004;4111;6107;20498;32720;
35384;2077;4250;6305;21088;33720;
36389;2186;4441;6582;21511;34720;
37405;2271;4629;6855;21965;35720;
38414;2341;4758;7025;22596;36720;
39428;2406;4881;7233;23200;37720;
40440;2460;4978;7371;23911;38720;
41453;2525;5085;7531;24579;39720;
42466;2600;5274;7795;25051;40720;
43478;2710;5471;8050;25489;41720;
44479;2825;5681;8335;25879;42720;
45480;2886;5789;8520;26525;43720;
46493;2932;5895;8655;27238;44720;
47494;3010;6045;8881;27784;45720;
48503;3033;6096;8955;28636;46720;
49519;3129;6290;9241;29060;47720;
50522;3173;6357;9328;29862;48720;
51534;3200;6386;9368;30766;49720;
52539;3265;6532;9584;31339;50720;
53552;3325;6673;9777;31945;51720;
54553;3372;6772;9904;32672;52720;
55566;3433;6917;10125;33245;53720;
56579;3513;7102;10360;33745;54720;
57590;3617;7306;10649;34148;55720;
58603;3709;7523;10924;34564;56720;
59616;3807;7736;11231;34946;57720;
60630;3902;7925;11535;35358;58720;
61637;3947;8017;11711;36045;59720;
62638;4000;8081;11835;36804;60720;
63651;4067;8258;12051;37344;61720;
64666;4161;8402;12271;37886;62720;
65675;4254;8569;12512;38385;63720;
66692;4285;8630;12610;39195;64720;
67705;4370;8824;12911;39615;65720;
68718;4400;8884;13010;40426;66720;
69732;4456;8995;13135;41134;67720;
70736;4472;9028;13264;41956;68720;
71743;4506;9070;13431;42713;69720;
72755;4555;9157;13585;43423;70720;
73770;4671;9383;13813;43853;71720;
74778;4731;9488;13897;44604;72720;
75794;4772;9561;14104;45283;73720;
76797;4802;9615;14272;46031;74720;
77804;4899;9822;14416;46583;75720;
78809;4988;10001;14714;47017;76720;
79820;5008;10053;14772;47887;77720;
80822;5090;10207;15011;48412;78720;
81829;5130;10308;15138;49144;79720;
82837;5153;10345;15199;50023;80720;
83839;5216;10509;15431;50564;81720;
84842;5286;10635;15640;51159;82720;
85858;5329;10727;15807;51857;83720;
86869;5375;10834;15944;52567;84720;
87871;5413;10892;16074;53341;85720;
88884;5443;10960;16171;54146;86720;
89896;5521;11146;16403;54650;87720;
90897;5534;11189;16464;55533;88720;
91909;5606;11297;16674;56143;89720;
92912;5627;11320;16722;57051;90720;
93915;5706;11448;16909;57657;91720;
94925;5765;11575;17080;58300;92720;
95925;5837;11704;17292;58887;93720;
96940;5910;11874;17533;59403;94720;
97954;5983;12019;17734;59984;95720;
98964;6051;12137;17930;60602;96720;
99978;6120;12261;18085;61254;97720;
100979;6145;12332;18178;62065;98720;
101992;6203;12454;18358;62705;99720;
103008;6235;12500;18446;63539;100720;
104024;6329;12669;18655;64067;101720;
105022;6372;12738;18762;64848;102720;
106025;6430;12874;18925;65491;103720;
107036;6519;13045;19172;65984;104720;
108039;6572;13152;19351;66645;105720;
109055;6641;13281;19556;67242;106720;
110063;6676;13377;19669;67998;107720;
111064;6704;13447;19779;68790;108720;
112068;6742;13512;19873;69593;109720;
113071;6850;13692;20110;70068;110720;
114085;6900;13792;20258;70770;111720;
115085;6999;13997;20584;71140;112720;
116093;7108;14183;20893;71536;113720;
117103;7168;14307;21107;72138;114720;
118110;7266;14469;21375;72610;115720;
119123;7371;14639;21644;73066;116720;
120127;7448;14814;21868;73590;117720;
121137;7501;14932;22027;74260;118720;
122151;7538;15001;22119;75062;119720;
123161;7582;15125;22281;75732;120720;
124174;7636;15219;22397;76468;121720;
125189;7720;15401;22662;76937;122720;
126204;7720;15401;22798;77801;123720;
127204;7838;15651;22992;78239;124720;
128214;7890;15840;23283;78707;125720;
129227;7964;15913;23398;79445;126720;
