Timestamp; P1 ; PowerPriority1; msgPerPriority1; Real reads (remaining)1; Real receibed1; P2 ; PowerPriority2; msgPerPriority2; Real reads (remaining)2; Real receibed2; P3 ; PowerPriority3; msgPerPriority3; Real reads (remaining)3; Real receibed3; P4 ; PowerPriority4; msgPerPriority4; Real reads (remaining)4; Real receibed4;  Expired; Request; Read; Remaining final
1078;1;1;533;533;57;2;0.5;267;743;107;3;0.25;133;769;168;4;0.125;67;668;668;0;0;0;0
2051;1;1;533;533;20;2;0.5;267;780;39;3;0.25;133;874;75;4;0.125;67;866;586;NaN
3059;1;1;533;533;66;2;0.5;267;734;114;3;0.25;133;753;174;4;0.125;67;646;646;0;0;0;0
4068;1;1;533;533;29;2;0.5;267;771;124;3;0.25;133;780;185;4;0.125;67;662;662;0;0;0;0
5070;1;1;533;533;41;2;0.5;267;759;94;3;0.25;133;798;132;4;0.125;67;733;733;0;0;0;0
6080;1;1;533;533;94;2;0.5;267;706;78;3;0.25;133;761;136;4;0.125;67;692;692;0;0;0;0
7092;1;1;533;533;45;2;0.5;267;755;118;3;0.25;133;770;125;4;0.125;67;712;712;0;0;0;0
8112;1;1;533;533;25;2;0.5;267;775;44;3;0.25;133;864;229;4;0.125;67;702;702;0;0;0;0
9120;1;1;533;533;66;2;0.5;267;734;141;3;0.25;133;726;113;4;0.125;67;680;680;0;0;0;0
10131;1;1;533;533;75;2;0.5;267;725;152;3;0.25;133;706;151;4;0.125;67;622;622;0;0;0;0
11145;1;1;533;533;35;2;0.5;267;765;91;3;0.25;133;807;216;4;0.125;67;658;658;0;0;0;0
12155;1;1;533;533;77;2;0.5;267;723;155;3;0.25;133;701;125;4;0.125;67;643;643;0;0;0;0
13156;1;1;533;533;67;2;0.5;267;733;150;3;0.25;133;716;225;4;0.125;67;558;558;0;0;0;0
14163;1;1;533;533;45;2;0.5;267;755;81;3;0.25;133;807;139;4;0.125;67;735;735;0;0;0;0
15164;1;1;533;533;41;2;0.5;267;759;113;3;0.25;133;779;177;4;0.125;67;669;669;0;0;0;0
16176;1;1;533;533;72;2;0.5;267;728;153;3;0.25;133;708;180;4;0.125;67;595;595;0;0;0;0
17189;1;1;533;533;83;2;0.5;267;717;195;3;0.25;133;655;315;4;0.125;67;407;407;0;0;0;0
18201;1;1;533;533;58;2;0.5;267;742;97;3;0.25;133;778;133;4;0.125;67;712;712;0;0;0;0
19211;1;1;533;533;48;2;0.5;267;752;83;3;0.25;133;802;136;4;0.125;67;733;733;0;0;0;0
20227;1;1;533;533;66;2;0.5;267;734;151;3;0.25;133;716;207;4;0.125;67;576;576;0;0;0;0
21239;1;1;533;533;66;2;0.5;267;734;129;3;0.25;133;738;203;4;0.125;67;602;602;0;0;0;0
22249;1;1;533;533;66;2;0.5;267;734;190;3;0.25;133;677;259;4;0.125;67;485;485;0;0;0;0
23260;1;1;533;533;71;2;0.5;267;729;125;3;0.25;133;737;199;4;0.125;67;605;605;0;0;0;0
24264;1;1;533;533;117;2;0.5;267;683;199;3;0.25;133;617;275;4;0.125;67;409;409;0;0;0;0
25278;1;1;533;533;83;2;0.5;267;717;168;3;0.25;133;682;287;4;0.125;67;462;462;0;0;0;0
26290;1;1;533;533;69;2;0.5;267;731;112;3;0.25;133;752;166;4;0.125;67;653;653;0;0;0;0
27291;1;1;533;533;26;2;0.5;267;774;42;3;0.25;133;865;75;4;0.125;67;857;857;0;0;0;0
28300;1;1;533;533;45;2;0.5;267;755;105;3;0.25;133;783;158;4;0.125;67;692;692;0;0;0;0
29313;1;1;533;533;81;2;0.5;267;719;214;3;0.25;133;638;316;4;0.125;67;389;389;0;0;0;0
30324;1;1;533;533;88;2;0.5;267;712;181;3;0.25;133;664;274;4;0.125;67;457;457;0;0;0;0
31333;1;1;533;533;43;2;0.5;267;757;81;3;0.25;133;809;123;4;0.125;67;753;753;0;0;0;0
32347;1;1;533;533;54;2;0.5;267;746;106;3;0.25;133;773;148;4;0.125;67;692;692;0;0;0;0
33349;1;1;533;533;85;2;0.5;267;715;179;3;0.25;133;669;283;4;0.125;67;453;453;0;0;0;0
34364;1;1;533;533;73;2;0.5;267;727;139;3;0.25;133;721;198;4;0.125;67;590;590;0;0;0;0
35369;1;1;533;533;109;2;0.5;267;691;191;3;0.25;133;633;277;4;0.125;67;423;423;0;0;0;0
36382;1;1;533;533;85;2;0.5;267;715;188;3;0.25;133;660;273;4;0.125;67;454;454;0;0;0;0
37397;1;1;533;533;70;2;0.5;267;730;129;3;0.25;133;734;170;4;0.125;67;631;631;0;0;0;0
38407;1;1;533;533;65;2;0.5;267;735;123;3;0.25;133;745;208;4;0.125;67;604;604;0;0;0;0
39418;1;1;533;533;54;2;0.5;267;746;97;3;0.25;133;782;138;4;0.125;67;711;711;0;0;0;0
40430;1;1;533;533;65;2;0.5;267;735;107;3;0.25;133;761;160;4;0.125;67;668;668;0;0;0;0
41441;1;1;533;533;75;2;0.5;267;725;189;3;0.25;133;669;264;4;0.125;67;472;472;0;0;0;0
42457;1;1;533;533;110;2;0.5;267;690;197;3;0.25;133;626;255;4;0.125;67;438;438;0;0;0;0
43454;1;1;533;533;115;2;0.5;267;685;210;3;0.25;133;608;285;4;0.125;67;390;390;0;0;0;0
44466;1;1;533;533;61;2;0.5;267;739;108;3;0.25;133;764;185;4;0.125;67;646;646;0;0;0;0
45469;1;1;533;533;46;2;0.5;267;754;106;3;0.25;133;781;135;4;0.125;67;713;713;0;0;0;0
46483;1;1;533;533;78;2;0.5;267;722;150;3;0.25;133;705;226;4;0.125;67;546;546;0;0;0;0
47497;1;1;533;533;23;2;0.5;267;777;51;3;0.25;133;859;74;4;0.125;67;852;852;0;0;0;0
48509;1;1;533;533;96;2;0.5;267;704;194;3;0.25;133;643;286;4;0.125;67;424;424;0;0;0;0
49511;1;1;533;533;44;2;0.5;267;756;67;3;0.25;133;822;87;4;0.125;67;802;802;0;0;0;0
50525;1;1;533;533;27;2;0.5;267;773;29;3;0.25;133;877;40;4;0.125;67;904;904;0;0;0;0
51525;1;1;533;533;65;2;0.5;267;735;146;3;0.25;133;722;216;4;0.125;67;573;573;0;0;0;0
52527;1;1;533;533;60;2;0.5;267;740;141;3;0.25;133;732;193;4;0.125;67;606;606;0;0;0;0
53542;1;1;533;533;47;2;0.5;267;753;99;3;0.25;133;787;127;4;0.125;67;727;727;0;0;0;0
54557;1;1;533;533;61;2;0.5;267;739;145;3;0.25;133;727;221;4;0.125;67;573;573;0;0;0;0
55568;1;1;533;533;80;2;0.5;267;720;185;3;0.25;133;668;235;4;0.125;67;500;500;0;0;0;0
56582;1;1;533;533;104;2;0.5;267;696;204;3;0.25;133;625;289;4;0.125;67;403;403;0;0;0;0
57592;1;1;533;533;92;2;0.5;267;708;217;3;0.25;133;624;275;4;0.125;67;416;416;0;0;0;0
58606;1;1;533;533;98;2;0.5;267;702;213;3;0.25;133;622;307;4;0.125;67;382;382;0;0;0;0
59659;1;1;533;533;95;2;0.5;267;705;189;3;0.25;133;649;304;4;0.125;67;412;412;0;0;0;0
60624;1;1;533;533;45;2;0.5;267;755;92;3;0.25;133;796;176;4;0.125;67;687;687;0;0;0;0
61652;1;1;533;533;53;2;0.5;267;747;64;3;0.25;133;816;124;4;0.125;67;759;759;0;0;0;0
62671;1;1;533;533;67;2;0.5;267;733;177;3;0.25;133;689;216;4;0.125;67;540;540;0;0;0;0
63655;1;1;533;533;94;2;0.5;267;706;144;3;0.25;133;695;220;4;0.125;67;542;542;0;0;0;0
