Timestamp; Read by categoriser; Remaining in queue
626;1000;0
1097;1000;0
1608;1000;0
2108;1000;0
2621;1000;0
3120;1000;0
3635;1000;0
4144;1000;0
4648;1000;0
5147;1000;0
5662;1000;0
6163;1000;0
6673;1000;0
7172;1000;0
7684;1000;0
8185;1000;348
8698;1000;0
9199;1000;0
9711;1000;265
10210;1000;0
10723;1000;0
11224;1000;0
11737;1000;0
12235;1000;0
12748;1000;0
13248;1000;0
13762;1000;0
14272;1000;0
14773;1000;0
15272;1000;0
15786;1000;207
16301;1000;46
16811;1000;346
17312;1000;0
17823;1000;0
18324;1000;0
18838;1000;0
19353;1000;0
19867;1000;0
20379;1000;404
20879;1000;0
21393;1000;759
21906;1000;0
22406;1000;0
22916;1000;0
23415;1000;253
23917;1000;196
24419;1000;0
24934;1000;742
25434;1000;0
25947;1000;0
26461;1000;0
26966;1000;0
27477;1000;0
27991;1000;391
28502;1000;767
29016;1000;1100
29529;1000;100
30042;1000;0
30557;1000;0
31071;1000;0
31581;1000;0
32093;1000;571
32608;1000;526
33116;1000;0
33616;1000;0
34129;1000;0
34642;1000;0
35150;1000;0
35663;1000;0
36164;1000;621
36677;1000;257
37191;1000;0
37704;1000;0
38217;1000;0
38733;1000;0
39246;1000;534
39760;1000;186
40273;1000;0
40773;1000;0
41287;1000;652
41803;1000;146
42312;1000;0
42826;1000;504
43328;1000;308
43828;1000;0
44341;1000;0
44844;1000;0
45346;1000;0
45858;1000;0
46358;1000;0
46860;1000;0
47372;1000;0
47885;1000;0
48400;1000;0
48911;1000;0
49415;1000;0
49919;1000;0
50433;1000;0
50931;1000;0
51447;1000;0
51949;1000;0
52451;1000;0
52963;1000;0
53463;1000;0
53963;1000;395
54479;1000;0
54994;1000;0
55509;1000;2355
56022;1000;1355
56537;1000;2895
57051;1000;2487
57562;1000;2470
58076;1000;1470
58592;1000;1395
59105;1000;1186
59619;1000;731
60121;1000;0
60623;1000;0
61124;1000;0
61628;1000;0
62142;1000;0
62655;1000;582
63156;1000;520
63669;1000;0
64183;1000;0
64697;1000;0
65212;1000;0
65715;1000;0
66228;1000;1015
66743;1000;15
67259;1000;0
67776;1000;0
68285;1000;0
68786;1000;0
69300;1000;0
69801;1000;0
70315;1000;0
70815;1000;0
71327;1000;0
71826;1000;416
72342;1000;183
72840;1000;0
73351;1000;0
73852;1000;0
74364;1000;0
74864;1000;0
75377;1000;0
75932;1000;829
76443;1000;828
76949;1000;0
77451;1000;0
77952;1000;0
78452;1000;0
78967;1000;0
79482;1000;0
79983;1000;0
80485;1000;0
80990;1000;0
81493;1000;0
81997;1000;0
82497;1000;32
83012;1000;0
83516;1000;0
84017;1000;0
84519;1000;667
85034;1000;0
85548;1000;0
86048;1000;0
86548;1000;0
87063;1000;0
87576;1000;0
88091;1000;0
88606;1000;0
89120;1000;0
89622;1000;0
90123;1000;0
90637;1000;0
91151;1000;0
91651;1000;0
92166;1000;296
92667;1000;0
93183;1000;248
93698;1000;0
94212;1000;0
94715;1000;0
95229;1000;0
95744;1000;304
96258;1000;0
96772;1000;470
97286;1000;0
97797;1000;0
98312;1000;0
98814;1000;0
99327;1000;0
99829;1000;0
100343;1000;326
100857;1000;0
101357;1000;0
101872;1000;0
102387;1000;557
102902;1000;0
103402;1000;0
103902;1000;0
104417;1000;0
104920;1000;0
105436;1000;0
105949;1000;264
106461;1000;124
106962;1000;0
107464;1000;0
107978;1000;0
108493;1000;0
109009;1000;0
109522;1000;0
110023;1000;0
110537;1000;0
111041;1000;0
111541;1000;0
112046;1000;70
112559;1000;0
113075;1000;589
113589;1000;439
114091;1000;925
114606;1000;580
115119;1000;541
115634;1000;364
116136;1000;0
116640;1000;763
117149;1000;0
117661;1000;800
118174;1000;0
118675;1000;192
119177;1000;0
119679;1000;0
120189;1000;29
120704;1000;0
121205;1000;0
121718;1000;0
122233;1000;0
122748;1000;0
123247;1000;0
123761;1000;0
124262;1000;0
124775;1000;0
125288;1000;435
125799;1000;0
126300;1000;672
126801;1000;522
127314;1000;0
127814;1000;0
128313;1000;0
128826;1000;0
129340;1000;703
129855;1000;884
130354;1000;0
130867;1000;0
131367;1000;0
131879;1000;0
132380;1000;0
132895;1000;796
133394;1000;682
133908;1000;537
134463;1000;0
134967;1000;0
135479;1000;0
135981;1000;592
136496;1000;1729
137010;1000;729
137528;1000;706
138040;1000;0
138540;1000;0
139055;1000;0
139569;1000;0
140083;1000;0
140582;1000;0
141085;1000;630
141585;1000;0
142099;1000;0
142600;1000;0
143114;1000;0
143626;1000;0
144132;1000;0
144643;1000;0
145157;1000;0
145659;1000;0
146172;1000;0
146674;1000;0
147188;1000;0
147700;1000;0
148201;1000;0
148714;1000;0
149227;1000;0
149741;1000;0
150253;1000;0
150754;1000;0
151269;1000;359
151781;1000;0
152294;1000;0
152808;1000;0
153311;1000;0
153824;1000;0
154326;1000;0
154826;1000;0
155339;1000;0
155854;1000;0
156367;1000;0
156878;1000;0
157382;1000;182
157893;1000;0
158408;1000;0
158909;1000;0
159410;1000;0
159910;1000;0
160424;1000;0
160937;1000;213
161449;1000;111
161965;1000;28
162479;1000;0
162979;1000;0
163480;1000;0
163981;1000;0
164481;1000;590
164987;1000;169
165490;1000;0
165991;1000;0
166507;1000;0
167022;1000;0
167534;1000;0
168037;1000;0
168551;1000;0
169066;1000;639
169579;1000;0
170091;1000;0
170593;1000;104
171094;1000;0
171602;1000;0
172115;1000;0
172628;1000;0
173140;1000;0
173653;1000;0
174164;1000;0
174665;1000;155
175178;1000;0
175681;1000;0
176194;1000;0
176708;1000;0
177223;1000;0
177722;1000;0
178235;1000;0
178736;1000;0
179251;1000;0
179766;1000;0
180270;1000;0
180784;1000;0
181299;1000;0
181810;1000;0
182325;1000;0
182827;1000;0
183327;1000;1827
183827;1000;827
184337;1000;371
184880;1000;0
185383;1000;0
185894;1000;0
186410;1000;618
186922;1000;597
187423;1000;265
187928;1000;1020
188429;1000;20
188942;1000;0
189457;1000;0
189972;1000;171
190487;1000;0
191000;1000;0
191512;1000;0
192025;1000;0
192525;1000;0
193040;1000;183
193554;1000;0
194064;1000;0
194579;1000;0
195093;1000;0
195604;1000;0
196119;1000;0
196633;1000;0
197144;1000;0
197656;1000;0
198158;1000;0
198671;1000;0
199185;1000;0
199699;1000;0
200199;1000;0
200713;1000;0
201226;1000;523
201739;1000;0
202252;1000;0
202764;1000;0
203264;1000;331
203778;1000;0
204292;1000;0
204805;1000;0
205315;1000;0
205828;1000;0
206342;1000;547
206847;1000;0
207347;1000;0
207859;1000;605
208374;1000;0
208888;1000;0
209389;1000;851
209902;1000;652
210413;1000;530
210916;1000;0
211430;1000;388
211931;1000;0
212447;1000;0
212960;1000;657
213475;1000;0
213976;1000;0
214488;1000;0
214989;1000;0
215502;1000;0
216015;1000;0
216531;1000;0
217043;1000;0
217559;1000;0
218073;1000;0
218586;1000;156
219100;1000;0
219599;1000;0
220115;1000;8
220630;1000;0
221131;1000;705
221642;1000;690
222143;1000;1307
222657;1000;719
223159;1000;0
223663;1000;0
224176;1000;0
224692;1000;0
225192;1000;0
225706;1000;0
226206;1000;194
226717;1000;0
227231;1000;0
227731;1000;0
228247;1000;0
228754;1000;0
229267;1000;372
229777;1000;163
230330;1000;0
230834;1000;331
231348;1000;0
231863;1000;0
232363;1000;0
232873;1000;0
233374;1000;0
233888;1000;0
234389;1000;928
234899;1000;400
235401;1000;112
235911;1000;83
236415;1000;0
236922;1000;0
237424;1000;111
237936;1000;0
238437;1000;0
238950;1000;0
239449;1000;0
239962;1000;0
