Timestamp; Read by consumer; Remaining in queue
436;1000;0
1405;1000;0
2417;1000;0
3429;1000;272
4442;1000;0
5445;1000;0
6454;1000;508
7465;1000;286
8480;1000;634
9491;1000;1049
10503;1000;973
11503;1000;634
12512;1000;1910
13527;1000;1877
14536;1000;1413
15537;1000;2234
16548;1000;2631
17560;1000;2931
18574;1000;3390
19583;1000;2990
20598;1000;4248
21608;1000;5007
22621;1000;5390
23633;1000;6586
24635;1000;6216
25636;1000;6958
26650;1000;6365
27665;1000;7267
28671;1000;8325
29686;1000;7976
30697;1000;8606
31705;1000;8252
32714;1000;9132
33726;1000;9167
34735;1000;10626
35740;1000;10511
36754;1000;11768
37764;1000;11255
38778;1000;11089
39791;1000;12275
40804;1000;12112
41814;1000;13258
42828;1000;14531
43829;1000;14335
44843;1000;15069
45857;1000;14707
46858;1000;14606
47869;1000;14978
48880;1000;14973
49888;1000;14587
50900;1000;14580
51901;1000;14984
52915;1000;14517
53917;1000;15858
54930;1000;15542
55944;1000;17897
56955;1000;20029
57966;1000;20012
58981;1000;19937
59994;1000;20273
61000;1000;20366
62002;1000;19841
63015;1000;20423
64028;1000;21337
65040;1000;20996
66056;1000;21723
67071;1000;21624
68082;1000;22236
69097;1000;21578
70098;1000;21072
71107;1000;21004
72120;1000;22187
73134;1000;21543
74143;1000;21868
75157;1000;21474
76159;1000;22303
77167;1000;22302
78172;1000;22712
79184;1000;23273
80186;1000;23125
81194;1000;22515
82200;1000;22771
83202;1000;22932
84204;1000;22465
85219;1000;23132
86235;1000;22494
87248;1000;22848
88264;1000;22534
89276;1000;22773
90278;1000;22363
91290;1000;22401
92305;1000;22697
93308;1000;22945
94323;1000;22936
95338;1000;23114
96337;1000;23418
97347;1000;23888
98360;1000;24289
99375;1000;24474
100389;1000;24800
101403;1000;24325
102418;1000;24882
103433;1000;24607
104432;1000;24335
105435;1000;24601
106446;1000;25725
107449;1000;25123
108463;1000;25767
109477;1000;25419
110493;1000;25129
111495;1000;24844
112497;1000;24914
113509;1000;26353
114511;1000;27494
115523;1000;28278
116529;1000;28268
117538;1000;28041
118548;1000;29448
119554;1000;29465
120564;1000;29494
121563;1000;29811
122574;1000;29190
123588;1000;29929
124603;1000;29846
125612;1000;30281
126616;1000;30953
127627;1000;31113
128639;1000;30878
129653;1000;32464
130666;1000;33601
131677;1000;33124
132676;1000;33350
133690;1000;34205
134705;1000;34506
135712;1000;35206
136713;1000;36820
137728;1000;36797
138729;1000;36744
139739;1000;36256
140754;1000;36417
141756;1000;37378
142771;1000;36773
143784;1000;36767
144798;1000;36314
145801;1000;36639
146814;1000;36277
147824;1000;36935
148839;1000;37758
149849;1000;37665
150862;1000;38149
151875;1000;38665
152887;1000;38418
153902;1000;38371
154906;1000;37693
155916;1000;37894
156925;1000;38192
157940;1000;38374
158957;1000;38202
159957;1000;38232
160969;1000;39217
161980;1000;40032
162994;1000;39381
163998;1000;39973
165001;1000;41142
166007;1000;41238
167024;1000;41070
168039;1000;40823
169048;1000;42450
170057;1000;41750
171064;1000;41854
172069;1000;41797
173078;1000;42183
174088;1000;42041
175100;1000;42552
176102;1000;42536
177114;1000;43003
178127;1000;43048
179141;1000;42349
180144;1000;41762
181158;1000;41660
182171;1000;41335
183171;1000;44365
184182;1000;43909
185196;1000;44306
186207;1000;44815
187220;1000;46256
188224;1000;47011
189240;1000;46372
190252;1000;46890
191264;1000;46532
192276;1000;46243
193290;1000;46426
194297;1000;45833
195310;1000;46207
196322;1000;45730
197330;1000;45092
198345;1000;44561
199356;1000;44952
200370;1000;44686
201383;1000;45209
202392;1000;45080
203405;1000;45411
204417;1000;44893
205424;1000;44659
206438;1000;45206
207441;1000;44643
208452;1000;45910
209467;1000;46761
210476;1000;47440
211476;1000;47828
212478;1000;47296
213489;1000;47953
214503;1000;47906
215517;1000;47485
216532;1000;47084
217546;1000;47508
218555;1000;47664
219570;1000;46993
220585;1000;47573
221594;1000;49263
222610;1000;50292
223616;1000;49686
224615;1000;49126
225627;1000;48943
226639;1000;49137
227653;1000;49205
228659;1000;49803
229667;1000;50966
230679;1000;50511
231691;1000;51063
232700;1000;51429
233713;1000;51278
234727;1000;52206
235739;1000;53361
236753;1000;52928
237765;1000;53039
238777;1000;52979
239791;1000;52778
240803;1000;52489
241811;1000;51860
242823;1000;52845
243823;1000;54208
244836;1000;54193
245847;1000;54173
246858;1000;55446
247858;1000;57101
248871;1000;58502
249884;1000;58440
250899;1000;58446
251908;1000;58672
252919;1000;59004
253928;1000;58666
254942;1000;58897
255951;1000;58988
256964;1000;59646
257977;1000;59495
258987;1000;59458
259998;1000;60293
260998;1000;60182
262012;1000;60845
263026;1000;60280
264037;1000;60157
265050;1000;59980
266062;1000;62098
267076;1000;63430
268080;1000;63276
269083;1000;62501
270090;1000;61889
271092;1000;61366
272098;1000;60559
273101;1000;59976
274110;1000;59323
275118;1000;58659
276126;1000;57860
277131;1000;57197
278137;1000;56464
279147;1000;55824
280162;1000;55224
281170;1000;54612
282169;1000;53943
283182;1000;53101
284197;1000;52262
285201;1000;51391
286203;1000;50624
287216;1000;49816
288216;1000;48984
289227;1000;48320
290230;1000;47392
291241;1000;46630
292256;1000;45757
293265;1000;45004
294280;1000;44282
295283;1000;43353
296295;1000;42635
297305;1000;42010
298315;1000;41443
299326;1000;40570
300330;1000;39966
301335;1000;39059
302336;1000;38183
303349;1000;37244
304363;1000;36466
305364;1000;35577
306363;1000;34757
307377;1000;34001
308389;1000;33363
309399;1000;32483
310398;1000;31681
311409;1000;30854
312422;1000;30125
313436;1000;29504
314443;1000;28640
315457;1000;28049
316472;1000;27143
317480;1000;26320
318493;1000;25556
319503;1000;24730
320505;1000;24169
321506;1000;23347
322506;1000;22481
323514;1000;21640
324528;1000;20753
325539;1000;20118
326539;1000;19340
327552;1000;18818
328556;1000;18167
329556;1000;17359
330556;1000;16505
331569;1000;15701
332569;1000;14804
333583;1000;14138
334596;1000;13237
335604;1000;12411
336618;1000;11744
337628;1000;10937
338640;1000;10492
339651;1000;9720
340663;1000;9131
341673;1000;8280
342685;1000;7407
343685;1000;6555
344699;1000;5817
345705;1000;5164
346713;1000;4816
347728;1000;3997
348742;1000;3156
349753;1000;2450
350765;1000;1974
351779;1000;1398
352780;1000;622
353794;1000;0
354807;1000;0
355821;1000;0
356836;1000;0
357851;1000;0
358853;1000;0
359859;1000;0
360870;1000;0
361876;1000;0
362892;1000;0
363905;1000;0
364915;1000;0
365930;1000;0
366943;1000;0
367943;1000;0
368947;1000;0
369956;1000;0
370968;1000;0
371980;1000;0
372993;1000;0
374001;1000;0
375014;1000;0
376027;1000;0
377038;1000;0
378053;1000;0
379065;1000;0
380080;1000;0
381081;1000;0
382095;1000;0
383106;1000;0
384118;1000;0
385133;1000;0
386140;1000;0
387153;1000;0
388167;1000;0
389178;1000;0
390192;1000;0
391208;1000;0
392217;1000;0
393231;1000;0
394232;1000;0
395233;1000;0
396244;1000;0
397258;1000;0
398272;1000;0
399287;1000;0
400298;1000;0
401309;1000;0
402319;1000;0
403319;1000;0
404333;1000;0
405341;1000;0
406356;1000;0
407366;1000;0
408379;1000;0
409386;1000;0
410400;1000;0
411412;1000;0
412422;1000;0
413433;1000;0
414449;1000;0
415449;1000;0
416462;1000;0
417475;1000;0
418488;1000;0
419501;1000;0
420505;1000;0
421506;1000;0
422518;1000;0
423522;1000;0
424535;1000;0
425546;1000;0
426557;1000;0
427571;1000;0
428586;1000;0
429596;1000;0
430607;1000;0
431622;1000;0
432632;1000;0
433646;1000;0
434655;1000;0
435669;1000;0
436680;1000;0
437693;1000;0
438705;1000;0
439714;1000;0
440715;1000;0
441719;1000;0
442722;1000;0
443732;1000;0
444745;1000;0
445757;1000;0
446771;1000;0
447782;1000;0
448795;1000;0
449794;1000;0
450809;1000;0
451819;1000;0
452824;1000;0
453836;1000;0
454849;1000;0
455861;1000;0
456873;1000;0
457883;1000;0
458897;1000;0
459909;1000;0
460914;1000;0
461916;1000;0
462929;1000;0
463938;1000;0
464941;1000;0
465946;1000;0
466956;1000;0
467970;1000;0
468981;1000;0
469991;1000;0
470997;1000;0
472012;1000;0
473026;1000;0
474026;1000;0
475037;1000;0
476052;1000;0
477059;1000;0
478065;1000;0
479079;1000;0
480094;1000;0
481109;1000;0
482125;1000;0
483130;1000;0
484133;1000;0
485146;1000;0
486159;1000;0
487174;1000;0
488185;1000;0
489197;1000;0
490199;1000;0
491212;1000;0
492225;1000;0
493240;1000;0
494252;1000;0
495263;1000;0
496273;1000;0
497285;1000;0
498297;1000;0
499307;1000;0
500307;1000;0
501308;1000;0
502321;1000;0
503329;1000;0
504341;1000;0
505352;1000;0
506366;1000;0
507380;1000;0
508386;1000;0
509398;1000;0
510398;1000;0
511400;1000;0
512413;1000;0
513425;1000;0
514435;1000;0
515446;1000;0
516460;1000;0
517472;1000;0
518486;1000;0
519498;1000;0
520497;1000;0
521498;1000;0
522509;1000;0
523524;1000;0
524524;1000;0
525539;1000;0
526552;1000;0
527566;1000;0
528578;1000;0
529585;1000;0
530585;1000;0
531596;1000;0
532600;1000;0
533611;1000;0
534618;1000;0
535624;1000;207
536625;1000;171
537628;1000;655
538639;1000;838
539641;1000;359
540653;1000;467
541657;1000;0
542659;1000;483
543665;1000;1669
544672;1000;2259
545673;1000;2034
546687;1000;1812
547700;1000;1648
548712;1000;2338
549726;1000;2710
550741;1000;2064
551756;1000;1773
552767;1000;2398
553779;1000;2654
554788;1000;2632
555803;1000;2375
556818;1000;2198
557831;1000;2234
558842;1000;1808
559852;1000;2274
560866;1000;1880
561877;1000;1658
562891;1000;1112
563904;1000;1854
564917;1000;1381
565930;1000;1759
566940;1000;1846
567950;1000;1824
568957;1000;2184
569968;1000;2581
570978;1000;2857
571992;1000;3054
573006;1000;5848
574019;1000;7272
575032;1000;7152
576040;1000;7407
577050;1000;7066
578059;1000;8242
579058;1000;9047
580071;1000;9033
581084;1000;8776
582089;1000;10515
583089;1000;11447
584099;1000;11682
585109;1000;12427
586121;1000;13144
587133;1000;12915
588145;1000;12662
589156;1000;14406
590171;1000;13709
591185;1000;14188
592199;1000;14036
593214;1000;13943
594215;1000;15022
595226;1000;15834
596239;1000;15914
597253;1000;16138
598268;1000;15893
599282;1000;16074
600293;1000;15908
601307;1000;16746
602320;1000;16619
603332;1000;16915
604339;1000;16277
605339;1000;16701
606349;1000;18632
607363;1000;18081
608364;1000;18479
609378;1000;19414
610389;1000;19008
611399;1000;19948
612409;1000;19793
613425;1000;20383
614436;1000;20504
615449;1000;20174
616457;1000;20490
