Timestamp; Shipment; Messages generated in shipment; Queue lenght; Next shipment; Total produced
14;1;806;806;826;806
845;2;425;425;661;1231
1512;3;489;489;678;1720
2198;4;498;498;566;2218
2775;5;701;701;634;2919
3413;6;571;571;611;3490
4036;7;653;653;625;4143
4677;8;902;902;881;5045
5569;9;887;887;805;5932
6376;10;621;621;98;6553
6484;11;316;937;557;6869
7044;12;462;462;764;7331
7823;13;398;398;193;7729
8025;14;950;1348;907;8679
8947;15;506;506;359;9185
9320;16;909;909;191;10094
9523;17;356;1265;472;10450
10003;18;568;833;961;11018
10972;19;661;661;631;11679
11611;20;800;800;233;12479
11860;21;354;354;291;12833
12155;22;455;809;286;13288
12451;23;667;667;940;13955
13404;24;967;967;366;14922
13776;25;536;536;888;15458
14677;26;710;710;554;16168
15240;27;462;462;49;16630
15302;28;649;649;263;17279
15567;29;558;1207;418;17837
15988;30;839;1046;606;18676
16609;31;901;947;184;19577
16795;32;399;1346;819;19976
17620;33;559;559;701;20535
18323;34;900;900;562;21435
18900;35;600;600;951;22035
19866;36;854;854;422;22889
20301;37;510;510;42;23399
20347;38;894;1404;602;24293
20957;39;866;866;212;25159
21174;40;893;1759;732;26052
21907;41;726;726;579;26778
22497;42;657;657;607;27435
23118;43;679;679;125;28114
23257;44;574;1253;220;28688
23492;45;943;1196;552;29631
24057;46;630;826;654;30261
24713;47;896;896;21;31157
24744;48;846;1742;975;32003
25727;49;407;407;985;32410
26712;50;511;511;927;32921
27648;51;453;453;14;33374
27664;52;938;1391;353;34312
28020;53;618;1009;60;34930
28082;54;758;1767;533;35688
28625;55;682;1449;251;36370
28889;56;651;2100;922;37021
29825;57;797;897;863;37818
30696;58;833;833;885;38651
31584;59;646;646;471;39297
32062;60;925;1571;480;40222
32545;61;955;1526;174;41177
32729;62;352;878;616;41529
33350;63;683;683;759;42212
34113;64;701;701;358;42913
34486;65;940;940;186;43853
34687;66;818;818;869;44671
35570;67;885;885;185;45556
35755;68;827;827;77;46383
35834;69;794;1621;801;47177
36645;70;636;1257;861;47813
37516;71;487;487;616;48300
38139;72;834;834;755;49134
38902;73;954;954;252;50088
39167;74;580;1534;134;50668
39307;75;652;1186;965;51320
40274;76;837;837;594;52157
40882;77;768;768;347;52925
41241;78;884;1652;165;53809
41410;79;494;1146;435;54303
41860;80;464;610;333;54767
42202;81;305;915;111;55072
42315;82;572;572;371;55644
42701;83;932;1504;524;56576
43233;84;804;1308;778;57380
44014;85;832;832;784;58212
44812;86;902;902;936;59114
45762;87;638;638;590;59752
46357;88;899;899;560;60651
46919;89;507;507;638;61158
47559;90;865;865;448;62023
48008;91;529;529;301;62552
48321;92;466;995;939;63018
49273;93;614;614;816;63632
50105;94;320;320;499;63952
50616;95;673;673;402;64625
51026;96;693;693;706;65318
51744;97;711;711;547;66029
