Timestamp; Cola 1 expriados; Cola 1 quedan; Cola 2 expirados; Cola 2 quedan; Cola 3 expriados; Cola 3 quedan; Cola 4 expirados; Cola 4 quedan; Total Expirados; Cola Expirados
1023;0;0;0;0;0;0;0;0;0;0
2028;0;0;0;0;0;0;0;0;0;0
3029;0;0;0;81;0;116;0;562;0;0
4034;0;0;0;0;0;0;0;0;0;0
5034;0;0;0;0;0;0;0;0;0;0
6045;0;49;0;85;0;118;0;548;0;0
7056;0;38;0;65;0;119;0;578;0;0
8065;0;0;0;0;0;0;0;0;0;0
9074;0;38;0;85;0;122;0;555;0;0
10088;0;40;0;76;0;124;0;560;0;0
11088;0;0;0;0;0;0;0;0;0;0
12091;0;0;0;0;0;0;0;0;0;0
13100;0;33;0;92;0;108;0;567;0;0
14110;0;35;0;82;0;129;0;554;0;0
15113;0;51;0;80;0;122;0;547;0;0
16124;0;0;0;0;0;0;0;0;0;0
17123;0;0;0;0;0;0;0;0;0;0
18127;0;34;0;75;0;119;0;572;0;0
19140;0;40;0;75;0;119;0;566;0;0
20155;0;0;0;0;0;0;0;0;0;0
21156;0;38;0;76;0;147;0;539;0;0
22160;0;40;0;91;0;121;0;548;0;0
23174;0;44;0;74;0;141;0;541;0;0
24174;0;0;0;84;0;133;0;544;0;0
25183;0;0;0;0;0;0;0;0;0;0
26185;0;41;0;70;0;103;0;586;0;0
27189;0;42;0;84;0;114;0;560;0;0
28203;0;36;0;82;0;106;0;576;0;0
29204;0;0;0;82;0;139;0;544;0;0
30216;0;0;0;0;0;0;0;0;0;0
31228;0;44;0;75;0;116;0;565;0;0
32232;0;31;0;73;0;116;0;580;0;0
33233;0;0;0;0;0;118;0;561;0;0
34240;0;0;0;0;0;0;0;0;0;0
35252;0;39;0;78;0;124;0;559;0;0
36254;0;37;0;81;0;111;0;571;0;0
37255;0;0;0;0;0;126;0;557;0;0
38263;0;0;0;0;0;0;0;0;0;0
39273;0;40;0;76;0;103;0;581;0;0
40282;0;38;0;85;0;113;0;564;0;0
41282;0;0;0;76;0;133;0;549;0;0
42290;0;0;0;0;0;0;0;0;0;0
43305;0;43;0;70;0;125;0;562;0;0
44316;0;45;0;76;0;129;0;550;0;0
45317;0;39;0;86;0;130;0;545;0;0
46323;0;0;0;0;0;0;0;0;0;0
47334;0;48;0;97;0;124;0;531;0;0
48340;0;35;0;80;0;130;0;555;0;0
49345;0;40;0;100;0;102;0;558;0;0
50345;0;48;0;87;0;115;0;550;0;0
51358;0;0;0;0;0;0;0;0;0;0
52366;0;40;0;70;0;113;0;577;0;0
53368;0;11;0;26;0;52;0;244;0;0
54368;0;0;0;0;0;0;0;0;0;0
55374;0;0;0;0;0;0;0;0;0;0
56386;0;15;0;34;0;48;0;217;0;0
57401;0;15;0;27;0;40;0;215;0;0
58400;0;0;0;17;0;21;0;102;0;0
59410;0;0;0;0;0;0;0;0;0;0
60418;0;37;0;93;0;114;0;556;0;0
61422;0;42;0;67;0;111;0;580;0;0
62424;0;0;0;68;0;123;0;559;0;0
63432;0;0;0;0;0;0;0;0;0;0
64442;0;29;0;79;0;109;0;583;0;0
