Timestamp; Pedidos por  Dispatcher; Leidos por Dispatcher; Cola Leida; Quedan Cola P1; Quedan Cola P2; Quedan Cola P3; Quedan Cola P4, Quedan Cola Expirados
1620;320;163;1;0;136;158;143;0
1630;317;136;2;0;0;158;143;0
1633;261;158;3;0;0;0;143;0
1636;143;143;4;0;0;0;0;0
2556;320;157;1;0;135;144;164;0
2561;323;135;2;0;0;144;164;0
2567;268;144;3;0;0;0;164;0
2571;164;164;4;0;0;0;0;0
3565;320;141;1;0;160;151;148;0
3570;339;160;2;0;0;151;148;0
3573;259;151;3;0;0;0;148;0
3580;148;148;4;0;0;0;0;0
4581;320;144;1;0;172;134;150;0
4590;336;172;2;0;0;134;150;0
4596;244;134;3;0;0;0;150;0
4599;150;150;4;0;0;0;0;0
5586;320;139;1;0;173;135;153;0
5591;341;173;2;0;0;135;153;0
5600;248;135;3;0;0;0;153;0
5606;153;153;4;0;0;0;0;0
6599;320;137;1;0;158;149;156;0
6608;265;149;3;0;0;0;156;0
6613;156;156;4;0;0;0;0;0
6604;343;158;2;0;0;149;156;0
7606;320;141;1;0;152;164;143;0
7610;339;152;2;0;0;164;143;0
7627;267;164;3;0;0;0;143;0
7631;143;143;4;0;0;0;0;0
8616;320;149;1;0;147;162;142;0
8632;331;147;2;0;0;162;142;0
8636;264;162;3;0;0;0;142;0
8638;142;142;4;0;0;0;0;0
9629;320;151;1;0;133;156;160;0
9633;329;133;2;0;0;156;160;0
9644;160;160;4;0;0;0;0;0
9636;276;156;3;0;0;0;160;0
10634;320;136;1;0;149;174;141;0
10639;344;149;2;0;0;174;141;0
10645;275;174;3;0;0;0;141;0
10652;141;141;4;0;0;0;0;0
11642;320;145;1;0;153;142;160;0
11648;335;153;2;0;0;142;160;0
11656;262;142;3;0;0;0;160;0
11661;160;160;4;0;0;0;0;0
12654;320;137;1;0;141;155;167;0
12658;343;141;2;0;0;155;167;0
12661;282;155;3;0;0;0;167;0
12669;167;167;4;0;0;0;0;0
13663;320;134;1;0;148;161;157;0
13669;346;148;2;0;0;161;157;0
13674;278;161;3;0;0;0;157;0
13681;157;157;4;0;0;0;0;0
14670;320;139;1;0;150;160;151;0
14676;341;150;2;0;0;160;151;0
14696;271;160;3;0;0;0;151;0
14701;151;151;4;0;0;0;0;0
15680;320;144;1;0;162;150;144;0
15686;336;162;2;0;0;150;144;0
15696;254;150;3;0;0;0;144;0
15700;144;144;4;0;0;0;0;0
16699;320;133;1;0;155;174;138;0
16703;347;155;2;0;0;174;138;0
16710;272;174;3;0;0;0;138;0
16715;138;138;4;0;0;0;0;0
17704;320;147;1;0;144;156;153;0
17708;333;144;2;0;0;156;153;0
17720;269;156;3;0;0;0;153;0
17738;153;153;4;0;0;0;0;0
18718;320;136;1;0;163;145;156;0
18724;344;163;2;0;0;145;156;0
18732;261;145;3;0;0;0;156;0
18736;156;156;4;0;0;0;0;0
19723;320;132;1;0;166;155;147;0
19728;348;166;2;0;0;155;147;0
