Timestamp;  Q1 expired; Q1 remaining; Q2 expired; Q2 remaining; Q3 expired; Q3 remaining; Q4 expired; Q4 remaining; Total expired ; Expired queue
1021;0;49;0;116;0;165;0;670;0;0
2029;0;54;0;99;0;141;0;1706;0;0
3038;0;49;0;70;0;127;0;2576;0;0
4049;0;0;0;0;0;0;0;2523;0;0
5062;0;44;0;78;0;123;0;2516;0;0
6065;0;30;0;74;0;123;0;2842;0;0
7080;0;19;0;0;0;0;0;2357;0;0
8086;0;29;0;75;0;119;0;2383;0;0
9090;0;43;0;105;0;158;0;2300;0;0
10105;0;44;0;83;0;140;0;2271;0;0
11106;0;72;0;148;0;221;0;2581;0;0
12110;0;13;0;32;0;56;0;2230;0;0
13125;0;60;0;155;0;215;0;2322;0;0
14128;0;32;0;65;0;82;0;2178;0;0
15142;0;87;0;150;0;127;0;2622;0;0
16155;0;19;0;30;0;33;0;2216;0;0
17167;0;102;0;90;0;150;0;2956;0;0
18179;0;116;0;97;0;144;0;3941;0;0
19178;0;38;0;72;0;126;0;3841;0;0
20181;0;29;0;76;0;91;0;3601;0;0
21196;0;106;0;189;0;279;0;4223;0;0
22207;0;77;0;154;0;100;0;5153;0;0
23216;0;54;0;101;0;129;0;5200;0;0
24229;0;72;0;105;0;149;0;5336;0;0
25229;0;94;0;196;0;166;0;6206;0;0
26237;0;71;0;125;0;174;0;6471;0;0
27244;0;37;0;71;0;96;0;6277;0;0
28244;0;68;0;157;0;185;0;6428;0;0
29253;0;77;0;149;0;213;0;6844;0;0
30258;0;51;0;108;0;145;0;6979;0;0
31271;0;41;0;81;0;111;0;6849;0;0
32274;0;58;0;119;0;183;0;6933;0;0
33282;0;11;0;40;0;56;0;6542;0;0
34287;0;35;0;66;0;102;0;6104;0;0
35293;0;72;0;128;0;213;0;6301;0;0
36301;0;97;0;186;0;247;0;7059;0;0
37307;0;71;0;126;0;186;0;7467;0;0
38319;0;82;0;129;0;195;0;7883;0;0
39324;0;69;0;151;0;238;0;8388;0;0
40331;0;35;0;68;0;98;0;8360;0;0
41343;0;16;0;52;0;69;0;7878;0;0
42351;0;76;0;125;0;221;0;7955;0;0
43360;0;85;0;161;0;272;0;8692;0;0
44375;0;46;0;91;0;124;0;8807;0;0
45375;0;37;0;108;0;141;0;8730;0;0
46385;0;18;0;32;0;45;0;8255;0;0
47386;0;91;0;173;0;277;0;8603;0;0
48399;0;92;0;197;0;292;0;9563;0;0
49410;0;92;0;167;0;248;0;10384;0;0
50422;0;111;0;199;0;306;0;11275;0;0
51437;0;35;0;85;0;151;0;11538;0;0
52443;0;37;0;79;0;127;0;11427;0;0
53454;0;97;0;236;0;317;0;12020;0;0
54468;0;86;0;172;0;251;0;12823;0;0
55472;0;75;0;156;0;228;0;13428;0;0
56486;0;50;0;98;0;131;0;13608;0;0
57487;0;63;0;129;0;183;0;13787;0;0
58494;0;34;0;65;0;103;0;13648;0;0
59500;0;84;0;198;0;285;0;14157;0;0
60503;0;72;0;161;0;229;0;14811;0;0
61514;0;37;0;96;0;105;0;14845;0;0
62525;0;75;0;119;0;202;0;15029;0;0
63537;0;52;0;77;0;135;0;15067;0;0
64547;0;70;0;160;0;239;0;15327;0;0
65552;0;102;0;192;0;317;0;16185;0;0
66560;0;93;0;186;0;253;0;16938;0;0
67565;0;53;0;137;0;220;0;17470;0;0
68567;0;94;0;199;0;269;0;18192;0;0
69585;0;73;0;151;0;245;411;18359;411;411
70581;0;53;0;102;0;151;0;18479;0;411
71594;0;64;0;115;0;180;19;18625;19;430
72628;0;66;0;150;0;223;527;18545;527;957
73637;0;27;0;64;0;115;774;17701;774;1731
74619;0;81;0;151;0;231;0;17915;0;1731
75632;0;113;0;195;0;301;0;18769;0;1731
76656;0;100;0;221;0;284;284;19489;284;2015
77693;0;93;0;190;0;287;802;19722;802;2817
78653;0;63;0;131;0;203;0;20133;0;2817
79676;0;0;0;0;0;0;667;18863;667;3484
80662;0;0;0;0;0;0;0;17863;0;3484
81671;0;0;0;0;0;0;0;16863;0;3484
82680;0;0;0;0;0;0;0;15863;0;3484
83688;0;0;0;0;0;0;0;14863;0;3484
84693;0;0;0;0;0;0;0;13863;0;3484
85701;0;0;0;0;0;0;0;12863;0;3484
86705;0;0;0;0;0;0;0;11863;0;3484
87709;0;0;0;0;0;0;0;10863;0;3484
88716;0;0;0;0;0;0;27;9836;27;3511
89724;0;0;0;0;0;0;45;8791;45;3556
90730;0;0;0;0;0;0;0;7791;0;3556
91731;0;0;0;0;0;0;0;6791;0;3556
92731;0;0;0;0;0;0;0;5791;0;3556
93733;0;0;0;0;0;0;0;4791;0;3556
94745;0;0;0;0;0;0;0;3791;0;3556
95760;0;0;0;0;0;0;0;2791;0;3556
96777;0;0;0;0;0;0;1231;560;1231;4787
97784;0;0;0;0;0;0;0;0;0;4347
98788;0;0;0;0;0;0;0;0;0;3347
99795;0;0;0;0;0;0;0;0;0;2347
100794;0;0;0;0;0;0;0;0;0;1347
101808;0;0;0;0;0;0;0;0;0;347
102814;0;0;0;0;0;0;0;0;0;0
103829;0;0;0;0;0;0;0;0;0;0
104841;0;0;0;0;0;0;0;0;0;0
105855;0;0;0;0;0;0;0;0;0;0
106855;0;0;0;0;0;0;0;0;0;0
107859;0;0;0;0;0;0;0;0;0;0
108860;0;0;0;0;0;0;0;0;0;0
109872;0;0;0;0;0;0;0;0;0;0
110882;0;0;0;0;0;0;0;0;0;0
111896;0;0;0;0;0;0;0;0;0;0
