Timestamp; Requests by Dispatcher; Read by Dispatcher; Read Queue;  Remaining Q1; Remaining Q2; Remaining Q3; Remaining Q4; Remaining queue expired
1083;533;100;1;Remaining Q0;Remaining Q232;Remaining Q303;Remaining Q1365;0
1090;700;232;2;Remaining Q0;Remaining Q0;Remaining Q303;Remaining Q1365;0
1093;601;303;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1365;0
1096;365;365;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1000;0
2047;533;112;1;Remaining Q0;Remaining Q195;Remaining Q290;Remaining Q2403;0
2050;688;195;2;Remaining Q0;Remaining Q0;Remaining Q290;Remaining Q2403;0
2052;626;290;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2403;0
2054;403;403;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2000;0
3055;533;83;1;Remaining Q0;Remaining Q145;Remaining Q225;Remaining Q3070;0
3058;717;145;2;Remaining Q0;Remaining Q0;Remaining Q225;Remaining Q3070;0
3060;705;225;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q3070;0
3062;547;547;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2523;0
4065;533;22;1;Remaining Q0;Remaining Q27;Remaining Q58;Remaining Q2815;0
4067;778;27;2;Remaining Q0;Remaining Q0;Remaining Q58;Remaining Q2815;0
4071;884;58;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2815;0
4072;893;893;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1922;0
5079;533;70;1;Remaining Q0;Remaining Q132;Remaining Q216;Remaining Q2897;0
5081;730;132;2;Remaining Q0;Remaining Q0;Remaining Q216;Remaining Q2897;0
5083;731;216;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2897;0
5084;582;582;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2315;0
6082;533;30;1;Remaining Q0;Remaining Q74;Remaining Q123;Remaining Q2842;0
6084;770;106;2;Remaining Q19;Remaining Q0;Remaining Q170;Remaining Q3051;0
6085;797;170;3;Remaining Q19;Remaining Q0;Remaining Q0;Remaining Q3051;0
6088;694;694;4;Remaining Q19;Remaining Q0;Remaining Q0;Remaining Q2357;0
7098;533;41;1;Remaining Q0;Remaining Q51;Remaining Q68;Remaining Q2692;0
7100;759;51;2;Remaining Q0;Remaining Q0;Remaining Q68;Remaining Q2692;0
7102;841;68;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2692;0
7105;840;840;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1852;0
8104;533;29;1;Remaining Q0;Remaining Q75;Remaining Q119;Remaining Q2383;0
8106;771;75;2;Remaining Q0;Remaining Q0;Remaining Q119;Remaining Q2383;0
8108;829;119;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q2383;0
8110;777;777;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q1606;0
9107;533;43;1;Remaining Q0;Remaining Q105;Remaining Q158;Remaining Q2300;0
