Timestamp;  Q1; Q2; Q3; Q4; Q Expirados
574;49;116;165;670;;0
1024;49;116;165;670;;0
1034;100;232;303;1365;;0
1532;54;99;141;1706;;0
2030;54;99;141;1706;;0
2034;112;195;290;2403;;0
2540;49;70;127;2576;;0
3040;49;70;127;2576;;0
3045;83;145;225;3070;;0
4050;0;0;0;2523;;0
4055;22;27;58;2815;;0
4560;44;78;123;2516;;0
5062;44;78;123;2516;;0
5066;70;132;216;2897;;0
5582;30;74;123;2842;;0
6065;30;74;123;2842;;0
6083;19;106;170;3051;;0
7080;19;0;0;2357;;0
7085;41;51;68;2692;;0
7601;29;75;119;2383;;0
8087;29;75;119;2383;;0
8623;43;105;158;2300;;0
9091;43;105;158;2300;;0
9124;22;45;51;1923;;0
9625;44;83;140;2271;;0
10106;44;83;140;2271;;0
10125;47;95;135;2230;;0
10627;72;148;221;2581;;0
11107;72;148;221;2581;;0
11630;13;32;56;2230;;0
12111;13;32;56;2230;;0
12129;41;107;145;2017;;0
12630;60;155;215;2322;;0
13126;60;155;215;2322;;0
13634;32;65;82;2178;;0
14129;32;65;82;2178;;0
14134;42;63;199;2747;;0
14647;87;150;127;2622;;0
15143;87;150;127;2622;;0
15660;19;30;33;2216;;0
16156;19;30;33;2216;;0
16160;54;130;177;2918;;0
16672;102;90;150;2956;;0
17167;102;90;150;2956;;0
17171;62;184;309;3641;;0
17684;116;97;144;3941;;0
18180;116;97;144;3941;;0
18186;1;1;146;3949;;0
18697;38;72;126;3841;;0
19179;38;72;126;3841;;0
19198;29;76;91;3601;;0
20183;29;76;91;3601;;0
20201;54;90;155;3498;;0
20702;106;189;279;4223;;0
21198;106;189;279;4223;;0
21205;45;97;423;4937;;0
21712;77;154;100;5153;;0
22208;77;154;100;5153;;0
22722;54;101;129;5200;;0
23217;54;101;129;5200;;0
23221;8;117;149;5334;;0
23736;72;105;149;5336;;0
24230;72;105;149;5336;;0
24236;54;101;308;6022;;0
24747;94;196;166;6206;;0
25231;94;196;166;6206;;0
25246;45;72;103;6176;;0
25752;71;125;174;6471;;0
26237;71;125;174;6471;;0
26256;37;71;96;6277;;0
27245;37;71;96;6277;;0
27260;35;75;94;5921;;0
27764;68;157;185;6428;;0
28246;68;157;185;6428;;0
28278;44;87;117;6466;;0
28786;77;149;213;6844;;0
29255;77;149;213;6844;;0
29789;51;108;145;6979;;0
30260;51;108;145;6979;;0
30293;24;52;66;6608;;0
30801;41;81;111;6849;;0
