Timestamp; Priority1;Priority2;Priority3;Priority4;Total read
2024;49;116;165;670;1000;
3031;100;232;303;1365;2000;
4037;154;331;444;2071;3000;
5048;212;427;593;2768;4000;
6056;268;515;747;3470;5000;
7065;321;604;889;4186;6000;
8063;374;700;1041;4885;7000;
9069;410;799;1206;5585;8000;
10075;461;907;1351;6281;9000;
11087;502;1004;1520;6974;10000;
12090;552;1109;1652;7687;11000;
13093;601;1199;1809;8391;12000;
14107;645;1299;1960;9096;13000;
15114;691;1406;2120;9783;14000;
16126;735;1519;2275;10471;15000;
17140;780;1598;2414;11208;16000;
18151;838;1702;2567;11893;17000;
19161;895;1802;2690;12613;18000;
20175;942;1896;2855;13307;19000;
21179;1006;1988;3007;13999;20000;
22194;1060;2086;3154;14700;21000;
23205;1111;2176;3309;15404;22000;
24216;1153;2273;3445;16129;23000;
25230;1210;2376;3595;16819;24000;
26243;1259;2470;3723;17548;25000;
27249;1302;2568;3868;18262;26000;
28258;1348;2645;3998;19009;27000;
29259;1404;2753;4137;19706;28000;
30264;1471;2855;4287;20387;29000;
31268;1523;2958;4447;21072;30000;
32283;1560;3055;4610;21775;31000;
33289;1623;3158;4760;22459;32000;
34293;1683;3277;4909;23131;33000;
35300;1730;3393;5039;23838;34000;
36305;1783;3486;5185;24546;35000;
37317;1837;3606;5323;25234;36000;
38320;1886;3709;5475;25930;37000;
39332;1935;3805;5632;26628;38000;
40336;1984;3905;5783;27328;39000;
41343;2032;4003;5927;28038;40000;
42359;2082;4099;6071;28748;41000;
43370;2132;4202;6215;29451;42000;
44379;2194;4288;6360;30158;43000;
45390;2242;4389;6485;30884;44000;
46403;2297;4475;6628;31600;45000;
47417;2352;4579;6765;32304;46000;
48418;2393;4676;6923;33008;47000;
49428;2436;4773;7067;33724;48000;
50441;2492;4854;7232;34422;49000;
51453;2540;4964;7373;35123;50000;
52467;2585;5044;7534;35837;51000;
53472;2641;5144;7679;36536;52000;
54485;2680;5261;7827;37232;53000;
55498;2722;5367;7967;37944;54000;
56502;2779;5451;8128;38642;55000;
57518;2826;5545;8282;39347;56000;
58519;2877;5652;8428;40043;57000;
59522;2924;5745;8569;40762;58000;
60530;2981;5847;8705;41467;59000;
61533;3031;5944;8859;42166;60000;
62545;3090;6042;9016;42852;61000;
63554;3124;6132;9175;43569;62000;
64567;3172;6239;9343;44246;63000;
65574;3220;6344;9503;44933;64000;
66582;3274;6457;9640;45629;65000;
67585;3322;6563;9796;46319;66000;
68592;3373;6662;9950;47015;67000;
69592;3417;6773;10087;47723;68000;
70598;3471;6871;10215;48443;69000;
71611;3519;6969;10370;49142;70000;
72620;3562;7066;10511;49861;71000;
73634;3607;7166;10677;50550;72000;
74649;3653;7276;10817;51254;73000;
75662;3703;7382;10960;51955;74000;
76678;3750;7497;11091;52662;75000;
77684;3797;7582;11260;53361;76000;
78697;3863;7676;11400;54061;77000;
79701;3909;7772;11549;54770;78000;
80716;3961;7885;11708;55446;79000;
81722;4021;7979;11861;56139;80000;
82730;4066;8079;12029;56826;81000;
83739;4119;8194;12179;57508;82000;
84746;4162;8294;12330;58214;83000;
85754;4209;8389;12492;58910;84000;
86758;4254;8492;12641;59613;85000;
87767;4305;8598;12781;60316;86000;
88770;4355;8699;12943;61003;87000;
89777;4406;8803;13117;61674;88000;
90782;4461;8902;13254;62383;89000;
91788;4509;9003;13396;63092;90000;
92790;4552;9097;13552;63799;91000;
93807;4592;9194;13712;64502;92000;
94808;4651;9298;13864;65187;93000;
95823;4721;9409;14013;65857;94000;
96835;4765;9491;14166;66578;95000;
97837;4817;9602;14321;67260;96000;
98845;4867;9709;14461;67963;97000;
99848;4909;9798;14609;68684;98000;
100855;4959;9902;14739;69400;99000;
101855;5006;10011;14894;70089;100000;
102868;5026;10045;14962;70314;100347;
