Timestamp; Priority1;Priority2;Priority3;Priority4;Total read
2037;100;232;303;365;1000;
3042;212;427;593;768;2000;
4054;295;572;818;1315;3000;
5063;317;599;876;2208;4000;
6069;387;731;1092;2790;5000;
7075;417;837;1262;3484;6000;
8089;458;888;1330;4324;7000;
9098;487;963;1449;5101;8000;
10099;530;1068;1607;5795;9000;
11101;574;1151;1747;6528;10000;
12102;646;1299;1968;7087;11000;
13103;659;1331;2024;7986;12000;
14105;719;1486;2239;8556;13000;
15118;751;1551;2438;9260;14000;
16133;838;1701;2565;9896;15000;
17147;857;1831;2742;10570;16000;
18158;959;2015;3051;10975;17000;
19172;1075;2112;3197;11616;18000;
20173;1113;2184;3323;12380;19000;
21175;1142;2260;3414;13184;20000;
22186;1248;2449;3837;13466;21000;
23198;1325;2603;3937;14135;22000;
24209;1379;2720;4086;14815;23000;
25213;1451;2825;4394;15330;24000;
26225;1545;3021;4560;15874;25000;
27229;1616;3146;4734;16504;26000;
28236;1653;3217;4830;17300;27000;
29241;1721;3374;5015;17890;28000;
30246;1798;3523;5228;18451;29000;
31258;1849;3631;5373;19147;30000;
32266;1890;3712;5484;19914;31000;
33269;1948;3831;5667;20554;32000;
34277;1959;3871;5723;21447;33000;
35283;1994;3937;5825;22244;34000;
36285;2066;4065;6038;22831;35000;
37297;2163;4251;6285;23301;36000;
38305;2234;4377;6471;23918;37000;
39313;2316;4506;6666;24512;38000;
40317;2385;4657;6904;25054;39000;
41322;2420;4725;7002;25853;40000;
42336;2436;4777;7071;26716;41000;
43341;2512;4902;7292;27294;42000;
44352;2597;5063;7564;27776;43000;
45368;2643;5154;7688;28515;44000;
46380;2680;5262;7829;29229;45000;
47395;2698;5294;7874;30134;46000;
48407;2789;5467;8151;30593;47000;
49421;2881;5664;8443;31012;48000;
50432;2973;5831;8691;31505;49000;
51432;3084;6030;8997;31889;50000;
52433;3119;6115;9148;32618;51000;
53446;3156;6194;9275;33375;52000;
54447;3253;6430;9592;33725;53000;
55459;3339;6602;9843;34216;54000;
56467;3414;6758;10071;34757;55000;
57481;3464;6856;10202;35478;56000;
58496;3527;6985;10385;36103;57000;
59506;3561;7050;10488;36901;58000;
60513;3645;7248;10773;37334;59000;
61515;3717;7409;11002;37872;60000;
62526;3754;7505;11107;38634;61000;
63536;3829;7624;11309;39238;62000;
64553;3881;7701;11444;39974;63000;
65557;3951;7861;11683;40505;64000;
66565;4053;8053;12000;40894;65000;
67570;4146;8239;12253;41362;66000;
68574;4199;8376;12473;41952;67000;
69587;4293;8575;12742;42390;68000;
70603;4366;8726;12987;42921;69000;
71602;4419;8828;13138;43615;70000;
72601;4483;8943;13318;44256;71000;
73612;4549;9093;13541;44817;72000;
74615;4576;9157;13656;45611;73000;
75624;4657;9308;13887;46148;74000;
76635;4770;9503;14188;46539;75000;
77646;4870;9724;14472;46934;76000;
78661;4963;9914;14759;47364;77000;
79662;5026;10045;14962;47967;78000;
80666;5026;10045;14962;48967;79000;
81674;5026;10045;14962;49967;80000;
82680;5026;10045;14962;50967;81000;
83693;5026;10045;14962;51967;82000;
84701;5026;10045;14962;52967;83000;
85705;5026;10045;14962;53967;84000;
86713;5026;10045;14962;54967;85000;
87713;5026;10045;14962;55967;86000;
88718;5026;10045;14962;56967;87000;
89723;5026;10045;14962;57967;88000;
90730;5026;10045;14962;58967;89000;
91737;5026;10045;14962;59967;90000;
92753;5026;10045;14962;60967;91000;
93756;5026;10045;14962;61967;92000;
94757;5026;10045;14962;62967;93000;
95770;5026;10045;14962;63967;94000;
96768;5026;10045;14962;64967;95000;
97771;5026;10045;14962;65967;96000;
98777;5026;10045;14962;66967;97000;
99787;5026;10045;14962;67967;98000;
100786;5026;10045;14962;68967;99000;
101801;5026;10045;14962;69967;100000;
102813;5026;10045;14962;70314;100347;
