Timestamp; P1 ; PowerPriority1; msgPerPriority1; Real reads (remaining)1; Real receibed1; P2 ; PowerPriority2; msgPerPriority2; Real reads (remaining)2; Real receibed2; P3 ; PowerPriority3; msgPerPriority3; Real reads (remaining)3; Real receibed3; P4 ; PowerPriority4; msgPerPriority4; Real reads (remaining)4; Real receibed4;  Expired; Request; Read; Remaining final
1089;1;1;533;533;100;2;0.5;267;700;232;3;0.25;133;601;303;4;0.125;67;365;365;0;0;0;0
2046;1;1;533;533;112;2;0.5;267;688;195;3;0.25;133;626;290;4;0.125;67;403;403;0;0;0;0
3054;1;1;533;533;83;2;0.5;267;717;145;3;0.25;133;705;225;4;0.125;67;547;547;0;0;0;0
4064;1;1;533;533;22;2;0.5;267;778;27;3;0.25;133;884;58;4;0.125;67;893;893;0;0;0;0
5076;1;1;533;533;70;2;0.5;267;730;132;3;0.25;133;731;216;4;0.125;67;582;582;0;0;0;0
6079;1;1;533;533;30;2;0.5;267;770;106;3;0.25;133;797;170;4;0.125;67;694;694;0;0;0;0
7096;1;1;533;533;41;2;0.5;267;759;51;3;0.25;133;841;68;4;0.125;67;840;840;0;0;0;0
8102;1;1;533;533;29;2;0.5;267;771;75;3;0.25;133;829;119;4;0.125;67;777;777;0;0;0;0
9110;1;1;533;533;43;2;0.5;267;757;105;3;0.25;133;785;158;4;0.125;67;694;694;0;0;0;0
10109;1;1;533;533;44;2;0.5;267;756;83;3;0.25;133;806;140;4;0.125;67;733;733;0;0;0;0
11108;1;1;533;533;72;2;0.5;267;728;148;3;0.25;133;713;221;4;0.125;67;559;559;0;0;0;0
12111;1;1;533;533;13;2;0.5;267;787;32;3;0.25;133;888;56;4;0.125;67;899;899;0;0;0;0
13125;1;1;533;533;60;2;0.5;267;740;155;3;0.25;133;718;215;4;0.125;67;570;570;0;0;0;0
14128;1;1;533;533;32;2;0.5;267;768;65;3;0.25;133;836;199;4;0.125;67;704;704;0;0;0;0
15141;1;1;533;533;87;2;0.5;267;713;150;3;0.25;133;696;127;4;0.125;67;636;636;0;0;0;0
16156;1;1;533;533;19;2;0.5;267;781;130;3;0.25;133;784;177;4;0.125;67;674;674;0;0;0;0
17166;1;1;533;533;102;2;0.5;267;698;184;3;0.25;133;647;309;4;0.125;67;405;405;0;0;0;0
18179;1;1;533;533;116;2;0.5;267;684;97;3;0.25;133;720;146;4;0.125;67;641;641;0;0;0;0
19178;1;1;533;533;38;2;0.5;267;762;72;3;0.25;133;823;126;4;0.125;67;764;764;0;0;0;0
20181;1;1;533;533;29;2;0.5;267;771;76;3;0.25;133;828;91;4;0.125;67;804;804;0;0;0;0
21199;1;1;533;533;106;2;0.5;267;694;189;3;0.25;133;638;423;4;0.125;67;282;282;0;0;0;0
