Timestamp; Read by categoriser; Remaining in queue
684;1000;171
1144;1000;1532
1646;1000;1317
2149;1000;317
2653;1000;0
3159;1000;0
3664;1000;0
4169;1000;0
4675;1000;0
5181;1000;0
5696;1000;0
6198;1000;0
6701;1000;0
7200;1000;0
7716;1000;0
8220;1000;0
8736;1000;435
9237;1000;0
9738;1000;0
10239;1000;0
10741;1000;0
11240;1000;0
11744;1000;0
12243;1000;0
12744;1000;0
13244;1000;0
13748;1000;0
14249;1000;0
14762;1000;0
15262;1000;0
15775;1000;0
16274;1000;868
16787;1000;1251
17286;1000;251
17798;1000;12
18300;1000;0
18811;1000;0
19312;1000;0
19814;1000;0
20315;1000;34
20816;1000;578
21317;1000;281
21826;1000;0
22327;1000;0
22836;1000;178
23336;1000;0
23850;1000;418
24350;1000;251
24860;1000;135
25359;1000;0
25866;1000;0
26370;1000;0
26872;1000;0
27374;1000;0
27878;1000;0
28393;1000;0
28899;1000;0
29401;1000;0
29903;1000;467
30408;1000;0
30915;1000;0
31419;1000;0
31923;1000;0
32422;1000;0
32926;1000;0
33432;1000;0
33934;1000;0
34436;1000;0
34940;1000;0
35441;1000;0
35948;1000;0
36451;1000;0
36953;1000;0
37457;1000;0
37962;1000;576
38467;1000;0
38983;1000;0
39490;1000;0
39992;1000;0
40496;1000;0
40997;1000;0
41508;1000;0
42022;1000;833
42533;1000;0
43043;1000;155
43556;1000;0
44056;1000;0
44571;1000;0
45085;1000;0
45586;1000;0
46098;1000;0
46613;1000;0
47114;1000;1578
47629;1000;986
48140;1000;747
48644;1000;0
49155;1000;588
49667;1000;1031
50181;1000;31
50696;1000;0
51200;1000;0
51714;1000;0
52217;1000;0
52733;1000;747
53243;1000;476
53744;1000;662
54258;1000;0
54773;1000;0
55277;1000;0
55778;1000;0
56293;1000;275
56809;1000;0
57309;1000;280
57823;1000;0
58328;1000;0
58833;1000;125
59337;1000;0
59840;1000;0
60340;1000;246
60844;1000;0
61349;1000;0
61854;1000;0
62359;1000;0
62864;1000;0
63370;1000;0
63877;1000;0
64382;1000;0
64885;1000;330
65388;1000;248
65891;1000;28
66395;1000;0
66897;1000;0
67399;1000;0
67901;1000;0
68402;1000;485
68901;1000;0
69403;1000;535
69916;1000;0
70418;1000;0
70932;1000;0
71444;1000;0
71949;1000;0
72458;1000;11
72972;1000;0
73487;1000;0
73990;1000;0
74503;1000;0
75017;1000;565
75518;1000;207
76027;1000;829
76540;1000;610
77053;1000;1418
77553;1000;1238
78054;1000;238
78555;1000;0
79069;1000;0
79569;1000;0
80072;1000;0
80575;1000;0
81080;1000;0
81585;1000;0
82088;1000;0
82591;1000;0
83098;1000;0
83601;1000;0
84107;1000;0
84608;1000;0
85110;1000;0
85614;1000;0
86120;1000;0
86621;1000;0
87136;1000;0
87641;1000;0
88157;1000;0
88661;1000;0
89162;1000;0
89669;1000;0
90185;1000;0
90689;1000;0
91193;1000;0
91708;1000;0
92222;1000;0
92723;1000;0
93225;1000;0
93741;1000;0
94242;1000;0
94754;1000;0
95269;1000;0
95784;1000;0
96285;1000;0
96785;1000;0
97288;1000;0
97794;1000;0
98294;1000;0
98797;1000;0
99301;1000;0
99804;1000;0
100319;1000;0
100818;1000;0
101332;1000;0
101832;1000;0
102345;1000;0
102857;1000;0
103369;1000;0
103885;1000;0
104398;1000;0
104913;1000;0
105427;1000;0
105927;1000;0
106441;1000;0
106941;1000;0
107446;1000;0
107947;1000;0
108461;1000;0
108975;1000;0
109489;1000;0
109993;1000;0
110502;1000;0
111002;1000;0
111514;1000;0
112017;1000;0
112530;1000;0
113031;1000;0
113542;1000;0
114042;1000;0
114554;1000;0
115056;1000;0
115568;1000;0
116070;1000;0
116571;1000;0
117072;1000;0
117574;1000;0
118074;1000;0
118576;1000;0
119080;1000;0
119585;1000;0
120091;1000;0
120605;1000;0
121111;1000;0
121617;1000;0
122120;1000;0
122622;1000;0
123126;1000;0
123629;1000;0
124135;1000;0
124641;1000;0
125146;1000;0
125652;1000;0
126162;1000;0
126666;1000;0
127169;1000;0
127682;1000;0
128196;1000;0
128701;1000;0
129202;1000;0
129710;1000;0
130212;1000;0
130717;1000;0
131216;1000;0
131729;1000;0
132243;1000;0
132760;1000;0
133272;1000;0
133787;1000;0
134289;1000;0
134804;1000;0
135304;1000;0
135818;1000;0
136319;1000;0
136819;1000;0
137333;1000;0
137835;1000;0
138350;1000;0
138851;1000;0
139361;1000;0
139861;1000;0
140376;1000;0
140876;1000;0
141390;1000;0
141900;1000;0
142401;1000;0
142914;1000;0
143427;1000;0
143941;1000;0
144453;1000;0
144967;1000;0
145480;1000;0
145984;1000;0
146487;1000;0
146999;1000;0
147502;1000;0
148003;1000;0
148517;1000;0
149031;1000;0
149535;1000;0
150038;1000;0
150541;1000;0
151046;1000;0
151550;1000;0
152053;1000;0
152556;1000;0
153058;1000;0
153565;1000;0
154068;1000;0
154573;1000;0
155075;1000;0
155577;1000;0
156081;1000;0
156585;1000;0
157092;1000;0
157595;1000;0
158102;1000;0
158605;1000;0
159121;1000;0
159635;1000;0
160138;1000;0
160641;1000;0
161156;1000;0
161660;1000;0
162165;1000;0
162677;1000;0
163192;1000;0
163693;1000;0
164192;1000;0
164705;1000;0
165215;1000;0
165716;1000;0
166231;1000;0
166745;1000;0
167261;1000;0
167773;1000;0
168288;1000;0
168803;1000;0
169304;1000;0
169816;1000;0
170330;1000;0
170830;1000;0
171330;1000;0
171842;1000;0
172358;1000;0
172871;1000;0
173383;1000;0
173898;1000;0
174413;1000;0
174927;1000;0
175442;1000;0
175943;1000;0
176456;1000;0
176960;1000;0
177463;1000;0
177968;1000;0
178473;1000;0
178974;1000;0
179479;1000;0
179981;1000;0
180481;1000;0
180981;1000;0
181489;1000;0
181994;1000;0
182497;1000;0
183004;1000;0
183510;1000;0
184015;1000;0
184521;1000;0
185027;1000;0
185534;1000;0
186035;1000;0
186552;1000;0
187057;1000;0
187561;1000;0
188076;1000;0
188576;1000;0
189080;1000;0
189585;1000;0
190090;1000;0
190597;1000;0
191111;1000;0
191625;1000;0
192136;1000;0
192637;1000;0
193150;1000;0
193663;1000;0
194177;1000;0
194677;1000;0
195190;1000;0
195704;1000;0
196219;1000;0
196732;1000;0
197233;1000;0
197747;1000;0
198262;1000;0
198761;1000;0
199275;1000;0
199776;1000;0
200288;1000;0
200791;1000;0
201304;1000;0
201808;1000;0
202311;1000;0
202824;1000;0
203338;1000;0
203837;1000;0
204351;1000;0
204850;1000;0
205367;1000;0
205868;1000;0
206371;1000;0
206872;1000;0
207384;1000;0
207897;1000;0
208399;1000;0
208900;1000;0
209406;1000;0
209911;1000;0
210415;1000;0
210918;1000;0
211419;1000;0
211919;1000;0
212435;1000;0
212936;1000;0
213441;1000;0
213946;1000;0
214455;1000;0
214960;1000;0
215468;1000;0
215969;1000;0
216473;1000;0
216977;1000;0
217484;1000;0
217988;1000;0
218497;1000;0
219011;1000;0
219515;1000;0
220019;1000;0
220525;1000;0
221026;1000;0
221537;1000;0
222052;1000;0
222565;1000;0
223079;1000;0
223594;1000;0
224095;1000;0
224598;1000;0
225101;1000;0
225606;1000;0
226108;1000;0
226609;1000;0
227111;1000;0
227614;1000;0
228119;1000;0
228631;1000;0
229145;1000;0
229658;1000;0
230159;1000;0
230674;1000;0
231187;1000;0
231700;1000;0
232213;1000;0
232725;1000;0
233239;1000;0
233740;1000;0
234253;1000;0
234767;1000;0
235266;1000;0
235769;1000;0
236274;1000;0
236776;1000;0
237280;1000;0
237782;1000;0
238297;1000;0
238812;1000;0
239314;1000;0
239817;1000;0
240322;1000;0
240829;1000;0
241334;1000;0
241837;1000;0
242340;1000;0
242846;1000;0
243352;1000;0
243856;1000;0
244361;1000;0
244867;1000;0
245369;1000;0
245872;1000;0
246377;1000;0
246881;1000;0
247385;1000;0
247889;1000;0
248394;1000;0
248899;1000;0
249405;1000;0
249907;1000;0
250421;1000;0
250925;1000;0
251430;1000;0
251945;1000;0
252446;1000;0
252945;1000;0
253458;1000;0
253961;1000;0
254466;1000;0
254971;1000;0
255486;1000;0
255992;1000;0
256492;1000;0
256995;1000;0
257494;1000;0
257998;1000;0
258500;1000;0
259004;1000;0
259509;1000;0
260017;1000;0
260519;1000;0
261021;1000;0
261535;1000;0
262050;1000;0
262551;1000;0
263055;1000;0
263559;1000;0
264072;1000;0
264586;1000;0
265086;1000;0
265600;1000;0
266115;1000;0
266614;1000;0
267129;1000;0
267643;1000;0
268159;1000;0
268671;1000;0
269186;1000;0
269689;1000;0
270204;1000;0
270704;1000;0
271207;1000;0
271723;1000;0
272227;1000;0
272732;1000;0
273236;1000;0
273743;1000;0
274248;1000;0
274754;1000;0
275255;1000;0
275761;1000;0
276267;1000;0
276770;1000;0
277274;1000;0
277778;1000;0
278284;1000;0
278790;1000;0
279294;1000;0
279795;1000;0
280298;1000;0
280804;1000;0
281308;1000;0
281813;1000;0
282314;1000;0
282829;1000;0
283333;1000;0
283838;1000;0
284344;1000;0
284844;1000;0
285344;1000;0
285858;1000;0
286359;1000;0
286861;1000;0
287362;1000;0
287865;1000;0
288378;1000;0
288892;1000;0
289397;1000;0
289897;1000;0
290406;1000;0
290910;1000;0
291415;1000;0
291922;1000;0
292427;1000;0
292927;1000;0
293430;1000;0
293931;1000;0
294435;1000;0
294936;1000;0
295442;1000;0
295946;1000;0
296448;1000;0
296962;1000;0
297467;1000;0
297972;1000;0
298476;1000;0
298977;1000;0
