Timestamp; Read by consumer; Remaining in queue
906;1000;171
1915;1000;2317
2921;1000;2523
3932;1000;1922
4941;1000;2315
5949;1000;2376
6948;1000;1852
7953;1000;1606
8958;1000;2041
9971;1000;2507
10975;1000;2022
11978;1000;2310
12993;1000;1752
13998;1000;1357
15011;1000;1986
16024;1000;3166
17035;1000;3549
18047;1000;3310
19061;1000;3077
20063;1000;3425
21078;1000;5078
22090;1000;4484
23101;1000;4662
24115;1000;5913
25128;1000;5797
26133;1000;6481
27142;1000;6125
28143;1000;5838
29150;1000;6283
30154;1000;6750
31168;1000;6875
32174;1000;6293
33178;1000;5649
34186;1000;5307
35191;1000;6619
36200;1000;6589
37204;1000;7289
38217;1000;7865
39221;1000;7846
40228;1000;7561
41244;1000;7015
42255;1000;8210
43263;1000;8365
44274;1000;8068
45288;1000;8016
46301;1000;7764
47302;1000;9722
48312;1000;9891
49325;1000;10479
50338;1000;11485
51352;1000;10809
52357;1000;10670
53369;1000;12146
54384;1000;12997
55388;1000;12887
56403;1000;13162
57404;1000;13442
58407;1000;12850
59415;1000;14273
60418;1000;14519
61429;1000;14083
62438;1000;14425
63451;1000;14331
64461;1000;14796
65467;1000;16044
66472;1000;17275
67478;1000;16880
68479;1000;18239
69483;1000;18774
70497;1000;18196
71508;1000;18414
72521;1000;18952
73535;1000;18638
74549;1000;19109
75564;1000;20316
76571;1000;21719
77584;1000;23347
78586;1000;22347
79601;1000;21347
80608;1000;20347
81616;1000;19347
82625;1000;18347
83633;1000;17347
84640;1000;16347
85644;1000;15347
86651;1000;14347
87657;1000;13347
88662;1000;12347
89670;1000;11347
90673;1000;10347
91676;1000;9347
92692;1000;8347
93694;1000;7347
94708;1000;6347
95722;1000;5347
96723;1000;4347
97730;1000;3347
98732;1000;2347
99741;1000;1347
100742;1000;347
101754;1000;0
102763;1000;0
103775;1000;0
104788;1000;0
105803;1000;0
106816;1000;0
107821;1000;0
108833;1000;0
109849;1000;0
110861;1000;0
111875;1000;0
112889;1000;0
113899;1000;0
114912;1000;0
115912;1000;0
116916;1000;0
117919;1000;0
118922;1000;0
119931;1000;0
120938;1000;0
121947;1000;0
122954;1000;0
123963;1000;0
124974;1000;0
125987;1000;0
126997;1000;0
128008;1000;0
129013;1000;0
130024;1000;0
131027;1000;0
132043;1000;0
133053;1000;0
134053;1000;0
135054;1000;0
136068;1000;0
137069;1000;0
138068;1000;0
139083;1000;0
140096;1000;0
141110;1000;0
142120;1000;0
143131;1000;0
144144;1000;0
145153;1000;0
146157;1000;0
147169;1000;0
148174;1000;0
149175;1000;0
150179;1000;0
151190;1000;0
152194;1000;0
153201;1000;0
154211;1000;0
155216;1000;0
156222;1000;0
157232;1000;0
158245;1000;0
159247;1000;0
160249;1000;0
161251;1000;0
162258;1000;0
163270;1000;0
164270;1000;0
165278;1000;0
166294;1000;0
167308;1000;0
168319;1000;0
169319;1000;0
170329;1000;0
171331;1000;0
172343;1000;0
173353;1000;0
174367;1000;0
175379;1000;0
176394;1000;0
177400;1000;0
178412;1000;0
179416;1000;0
180422;1000;0
181425;1000;0
182436;1000;0
183448;1000;0
184458;1000;0
185471;1000;0
186472;1000;0
187482;1000;0
188498;1000;0
189507;1000;0
190518;1000;0
191531;1000;0
192543;1000;0
193555;1000;0
194569;1000;0
195580;1000;0
196591;1000;0
197591;1000;0
198604;1000;0
199619;1000;0
200633;1000;0
201635;1000;0
202637;1000;0
203651;1000;0
204665;1000;0
205680;1000;0
206683;1000;0
207695;1000;0
208696;1000;0
209706;1000;0
210714;1000;0
211715;1000;0
212716;1000;0
213725;1000;0
214740;1000;0
215750;1000;0
216758;1000;0
217769;1000;0
218778;1000;0
219782;1000;0
220792;1000;0
221801;1000;0
222813;1000;0
223828;1000;0
224835;1000;0
225843;1000;0
226844;1000;0
227851;1000;0
228865;1000;0
229878;1000;0
230893;1000;0
231901;1000;0
232914;1000;0
233926;1000;0
234937;1000;0
235942;1000;0
236951;1000;0
237954;1000;0
238968;1000;0
239976;1000;0
240987;1000;0
241994;1000;0
243003;1000;0
244013;1000;0
245023;1000;0
246031;1000;0
247038;1000;0
248046;1000;0
249057;1000;0
250062;1000;0
251069;1000;0
252071;1000;0
253085;1000;0
254088;1000;0
255094;1000;0
256102;1000;0
257104;1000;0
258108;1000;0
259116;1000;0
260128;1000;0
261129;1000;0
262144;1000;0
263148;1000;0
264149;1000;0
265164;1000;0
266176;1000;0
267177;1000;0
268190;1000;0
269201;1000;0
270205;1000;0
271208;1000;0
272212;1000;0
273222;1000;0
274233;1000;0
275240;1000;0
276252;1000;0
277259;1000;0
278268;1000;0
279278;1000;0
280283;1000;0
281294;1000;0
282300;1000;0
283302;1000;0
284313;1000;0
285315;1000;0
286329;1000;0
287332;1000;0
288333;1000;0
289333;1000;0
290342;1000;0
291352;1000;0
292362;1000;0
293366;1000;0
294373;1000;0
295379;1000;0
296386;1000;0
297389;1000;0
298397;1000;0
299401;1000;0
