Timestamp; Shipment; Messages generated in shipment; Queue lenght; Next shipment; Total produced
14;1;448;448;613;448
637;2;723;1171;398;1171
1044;3;793;964;5;1964
1058;4;627;1591;27;2591
1090;5;941;2532;490;3532
1582;6;785;2317;705;4317
2303;7;505;822;514;4822
2824;8;701;701;976;5523
3804;9;399;399;810;5922
4624;10;839;839;286;6761
4925;11;554;554;279;7315
5210;12;754;754;618;8069
5835;13;307;307;879;8376
6715;14;476;476;710;8852
7433;15;754;754;794;9606
8234;16;525;525;81;10131
8331;17;910;1435;965;11041
9300;18;497;497;450;11538
9754;19;969;969;960;12507
10725;20;515;515;846;13022
11586;21;309;309;177;13331
11775;22;979;979;823;14310
12602;23;442;442;708;14752
13322;24;605;605;883;15357
14215;25;791;791;425;16148
14650;26;838;838;735;16986
15399;27;312;312;406;17298
15821;28;911;911;74;18209
15899;29;957;1868;485;19166
16397;30;986;1854;130;20152
16537;31;397;2251;995;20549
17534;32;761;1012;956;21310
18499;33;767;767;642;22077
19154;34;720;720;737;22797
19906;35;628;628;220;23425
20127;36;406;1034;477;23831
20613;37;576;610;161;24407
20785;38;968;1578;120;25375
20907;39;703;1281;604;26078
21515;40;406;687;883;26484
22403;41;754;754;361;27238
22773;42;424;1178;726;27662
23504;43;873;873;306;28535
23818;44;545;1418;211;29080
24037;45;833;1251;674;29913
24715;46;884;1135;419;30797
25143;47;599;734;689;31396
25835;48;445;445;287;31841
26132;49;640;640;924;32481
27061;50;644;644;331;33125
27407;51;713;713;942;33838
28361;52;876;876;456;34714
28818;53;569;569;669;35283
29494;54;981;981;193;36264
29699;55;486;1467;842;36750
30552;56;332;332;367;37082
30930;57;793;793;661;37875
31592;58;418;418;793;38293
32391;59;356;356;907;38649
33304;60;658;658;913;39307
34231;61;486;486;680;39793
34923;62;921;921;208;40714
35143;63;905;905;344;41619
35505;64;970;970;884;42589
36403;65;955;955;374;43544
36781;66;306;306;290;43850
37077;67;439;439;482;44289
37566;68;677;677;367;44966
37946;69;899;1576;884;45865
38841;70;981;981;980;46846
39835;71;715;715;931;47561
40776;72;454;454;476;48015
41258;73;362;362;266;48377
41539;74;858;858;311;49235
41865;75;975;1833;871;50210
42748;76;758;758;275;50968
43026;77;397;1155;936;51365
43978;78;703;703;923;52068
44913;79;638;638;82;52706
45007;80;310;948;314;53016
45333;81;334;334;813;53350
46158;82;414;414;444;53764
46611;83;380;794;173;54144
46799;84;935;935;54;55079
46862;85;741;1676;171;55820
47050;86;902;2578;268;56722
47330;87;408;1986;697;57130
48031;88;761;1747;611;57891
48645;89;772;772;379;58663
49030;90;816;1588;377;59479
49416;91;830;1418;177;60309
49604;92;613;2031;601;60922
50211;93;563;594;949;61485
