Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
1124;1;1;320;320;163;2;0.5;160;317;136;3;0.25;80;261;158;4;0.125;40;143;143;0;0;0;0
2059;1;1;320;320;157;2;0.5;160;323;135;3;0.25;80;268;144;4;0.125;40;164;164;0;0;0;0
3069;1;1;320;320;141;2;0.5;160;339;160;3;0.25;80;259;151;4;0.125;40;148;148;0;0;0;0
4087;1;1;320;320;144;2;0.5;160;336;172;3;0.25;80;244;134;4;0.125;40;150;150;0;0;0;0
5095;1;1;320;320;139;2;0.5;160;341;173;3;0.25;80;248;135;4;0.125;40;153;153;0;0;0;0
6100;1;1;320;320;137;2;0.5;160;343;158;3;0.25;80;265;149;4;0.125;40;156;156;0;0;0;0
7119;1;1;320;320;141;2;0.5;160;339;152;3;0.25;80;267;164;4;0.125;40;143;143;0;0;0;0
8132;1;1;320;320;149;2;0.5;160;331;147;3;0.25;80;264;162;4;0.125;40;142;142;0;0;0;0
9131;1;1;320;320;151;2;0.5;160;329;133;3;0.25;80;276;156;4;0.125;40;160;160;0;0;0;0
10139;1;1;320;320;136;2;0.5;160;344;149;3;0.25;80;275;174;4;0.125;40;141;141;0;0;0;0
11148;1;1;320;320;145;2;0.5;160;335;153;3;0.25;80;262;142;4;0.125;40;160;160;0;0;0;0
12167;1;1;320;320;137;2;0.5;160;343;141;3;0.25;80;282;155;4;0.125;40;167;167;0;0;0;0
13168;1;1;320;320;134;2;0.5;160;346;148;3;0.25;80;278;161;4;0.125;40;157;157;0;0;0;0
14189;1;1;320;320;139;2;0.5;160;341;150;3;0.25;80;271;160;4;0.125;40;151;151;0;0;0;0
15187;1;1;320;320;144;2;0.5;160;336;162;3;0.25;80;254;150;4;0.125;40;144;144;0;0;0;0
16202;1;1;320;320;133;2;0.5;160;347;155;3;0.25;80;272;174;4;0.125;40;138;138;0;0;0;0
17228;1;1;320;320;147;2;0.5;160;333;144;3;0.25;80;269;156;4;0.125;40;153;153;0;0;0;0
18224;1;1;320;320;136;2;0.5;160;344;163;3;0.25;80;261;145;4;0.125;40;156;156;0;0;0;0
19233;1;1;320;320;132;2;0.5;160;348;166;3;0.25;80;262;155;4;0.125;40;147;147;0;0;0;0
20254;1;1;320;320;149;2;0.5;160;331;151;3;0.25;80;260;155;4;0.125;40;145;145;0;0;0;0
21243;1;1;320;320;122;2;0.5;160;358;139;3;0.25;80;299;159;4;0.125;40;180;180;0;0;0;0
22267;1;1;320;320;131;2;0.5;160;349;134;3;0.25;80;295;176;4;0.125;40;159;159;0;0;0;0
23262;1;1;320;320;142;2;0.5;160;338;138;3;0.25;80;280;160;4;0.125;40;160;160;0;0;0;0
24284;1;1;320;320;140;2;0.5;160;340;127;3;0.25;80;293;162;4;0.125;40;171;171;0;0;0;0
25273;1;1;320;320;120;2;0.5;160;360;141;3;0.25;80;299;173;4;0.125;40;166;166;0;0;0;0
26302;1;1;320;320;167;2;0.5;160;313;135;3;0.25;80;258;144;4;0.125;40;154;154;0;0;0;0
27305;1;1;320;320;160;2;0.5;160;320;146;3;0.25;80;254;138;4;0.125;40;156;156;0;0;0;0
28330;1;1;320;320;141;2;0.5;160;339;156;3;0.25;80;263;164;4;0.125;40;139;139;0;0;0;0
29327;1;1;320;320;134;2;0.5;160;346;147;3;0.25;80;279;149;4;0.125;40;170;170;0;0;0;0
30327;1;1;320;320;143;2;0.5;160;337;154;3;0.25;80;263;143;4;0.125;40;160;160;0;0;0;0
31344;1;1;320;320;143;2;0.5;160;337;145;3;0.25;80;272;159;4;0.125;40;153;153;0;0;0;0
32354;1;1;320;320;173;2;0.5;160;307;140;3;0.25;80;247;146;4;0.125;40;141;141;0;0;0;0
33368;1;1;320;320;135;2;0.5;160;345;157;3;0.25;80;268;158;4;0.125;40;150;150;0;0;0;0
34369;1;1;320;320;129;2;0.5;160;351;152;3;0.25;80;279;160;4;0.125;40;159;159;0;0;0;0
35388;1;1;320;320;145;2;0.5;160;335;155;3;0.25;80;260;147;4;0.125;40;153;153;0;0;0;0
36381;1;1;320;320;146;2;0.5;160;334;144;3;0.25;80;270;149;4;0.125;40;161;161;0;0;0;0
37404;1;1;320;320;165;2;0.5;160;315;138;3;0.25;80;257;142;4;0.125;40;155;155;0;0;0;0
38415;1;1;320;320;136;2;0.5;160;344;166;3;0.25;80;258;147;4;0.125;40;151;151;0;0;0;0
39423;1;1;320;320;150;2;0.5;160;330;150;3;0.25;80;260;157;4;0.125;40;143;143;0;0;0;0
40445;1;1;320;320;140;2;0.5;160;340;145;3;0.25;80;275;151;4;0.125;40;164;164;0;0;0;0
41438;1;1;320;320;140;2;0.5;160;340;148;3;0.25;80;272;142;4;0.125;40;170;170;0;0;0;0
42467;1;1;320;320;159;2;0.5;160;321;145;3;0.25;80;256;157;4;0.125;40;139;139;0;0;0;0
43447;1;1;320;320;135;2;0.5;160;345;160;3;0.25;80;265;163;4;0.125;40;142;142;0;0;0;0
44454;1;1;320;320;144;2;0.5;160;336;137;3;0.25;80;279;175;4;0.125;40;144;144;0;0;0;0
45486;1;1;320;320;147;2;0.5;160;333;148;3;0.25;80;265;153;4;0.125;40;152;152;0;0;0;0
46498;1;1;320;320;146;2;0.5;160;334;143;3;0.25;80;271;164;4;0.125;40;147;147;0;0;0;0
47493;1;1;320;320;170;2;0.5;160;310;152;3;0.25;80;238;134;4;0.125;40;144;144;0;0;0;0
48509;1;1;320;320;149;2;0.5;160;331;162;3;0.25;80;249;154;4;0.125;40;135;135;0;0;0;0
49514;1;1;320;320;139;2;0.5;160;341;164;3;0.25;80;257;162;4;0.125;40;135;135;0;0;0;0
50507;1;1;320;320;136;2;0.5;160;344;147;3;0.25;80;277;166;4;0.125;40;151;151;0;0;0;0
51514;1;1;320;320;143;2;0.5;160;337;157;3;0.25;80;260;157;4;0.125;40;143;143;0;0;0;0
52523;1;1;320;320;156;2;0.5;160;324;149;3;0.25;80;255;146;4;0.125;40;149;149;0;0;0;0
53535;1;1;320;320;152;2;0.5;160;328;146;3;0.25;80;262;158;4;0.125;40;144;144;0;0;0;0
54545;1;1;320;320;143;2;0.5;160;337;149;3;0.25;80;268;163;4;0.125;40;145;145;0;0;0;0
55559;1;1;320;320;148;2;0.5;160;332;155;3;0.25;80;257;163;4;0.125;40;134;134;0;0;0;0
56577;1;1;320;320;150;2;0.5;160;330;175;3;0.25;80;235;148;4;0.125;40;127;127;0;0;0;0
57592;1;1;320;320;152;2;0.5;160;328;145;3;0.25;80;263;144;4;0.125;40;159;159;0;0;0;0
58611;1;1;320;320;147;2;0.5;160;333;153;3;0.25;80;260;152;4;0.125;40;148;148;0;0;0;0
59608;1;1;320;320;157;2;0.5;160;323;142;3;0.25;80;261;157;4;0.125;40;144;144;0;0;0;0
60601;1;1;320;320;168;2;0.5;160;312;154;3;0.25;80;238;141;4;0.125;40;137;137;0;0;0;0
61607;1;1;320;320;174;2;0.5;160;306;142;3;0.25;80;244;151;4;0.125;40;133;133;0;0;0;0
62617;1;1;320;320;141;2;0.5;160;339;157;3;0.25;80;262;143;4;0.125;40;159;159;0;0;0;0
