Timestamp; Leidos por Classifier; Quedan en cola
1578;600;377
2513;600;152
3520;600;309
4529;600;706
5540;600;583
6552;600;874
7568;600;1260
8570;600;1239
9583;600;1029
10595;600;1382
11599;600;1480
12608;600;1541
13620;600;1498
14624;600;1528
15632;600;1722
16646;600;2092
17656;600;2167
18671;600;1987
19679;600;1811
20689;600;2118
21698;600;2512
22711;600;2555
23720;600;2439
24728;600;2715
25741;600;3107
26742;600;3416
27749;600;3610
28752;600;3486
29764;600;3612
30773;600;3747
31784;600;3668
32797;600;3732
33809;600;3842
34816;600;3904
35830;600;3953
36845;600;4194
37845;600;4591
38853;600;4457
39865;600;4615
40881;600;4441
41891;600;4549
42901;600;4844
43913;600;4625
44914;600;4611
45929;600;4705
46933;600;4924
47939;600;4663
48943;600;4414
49953;600;4562
50965;600;4888
51967;600;4642
52971;600;4466
53987;600;4219
55002;600;4033
56000;600;3960
57011;600;4345
58024;600;4121
59046;600;4171
60048;600;4091
61055;600;3803
62058;600;4123
63069;600;4088
64083;600;4355
65096;600;4556
66106;600;4921
67107;600;4882
68116;600;4877
69131;600;5012
70143;600;4927
71155;600;5300
72159;600;5649
73172;600;5922
74180;600;5913
75184;600;5819
76188;600;5989
77202;600;6073
78215;600;6462
79232;600;6516
80238;600;6548
81253;600;6652
82264;600;6924
83261;600;6967
84271;600;7045
85274;600;6858
86284;600;6584
87299;600;6863
88313;600;6624
89326;600;6581
90337;600;6693
91345;600;6578
92358;600;6831
93362;600;6941
94373;600;6950
95381;600;6884
96397;600;7157
97406;600;6952
98416;600;6762
99426;600;7037
100439;600;7136
101453;600;7085
102460;600;6792
103465;600;6724
104479;600;6766
105485;600;6485
106497;600;6661
107511;600;6997
108524;600;6777
109535;600;6695
110544;600;6494
111557;600;6796
112564;600;6876
113571;600;6838
114583;600;6577
115589;600;6870
116598;600;6831
117610;600;6956
118618;600;7326
119627;600;7467
120682;600;7347
121697;600;7247
122704;600;7205
123715;600;7146
124728;600;7221
125743;600;7036
126751;600;6893
127779;600;6894
128772;600;7091
129785;600;6812
130799;600;6949
131798;600;6965
132812;600;7066
133823;600;6995
134843;600;6753
135842;600;6526
136858;600;6774
137866;600;6500
138872;600;6377
139884;600;6665
140891;600;6596
141901;600;6645
142910;600;6476
143926;600;6383
144927;600;6440
145942;600;6556
146943;600;6784
147954;600;7048
148968;600;6974
149981;600;7297
150982;600;7429
151994;600;7251
153010;600;7098
154007;600;6936
155019;600;6980
156032;600;6701
157032;600;6450
158042;600;6173
159050;600;6171
160057;600;5571
161059;600;4971
162073;600;4371
163078;600;3771
164095;600;3171
165101;600;2571
166109;600;1971
167123;600;1371
168136;600;771
169147;600;171
170149;600;0
171158;600;0
172180;600;0
173188;600;0
174183;600;0
175191;600;0
