Timestamp; Remesa; Mensajes generado en remesa; Cola Longitud; SiguienteRemesa; Total Producidos
15;1;483;483;1000;483
1018;2;494;977;1000;977
2028;3;375;752;1000;1352
3036;4;757;909;1000;2109
4043;5;997;1306;1000;3106
5055;6;477;1183;1000;3583
6067;7;891;1474;1000;4474
7080;8;986;1860;1000;5460
8093;9;579;1839;1000;6039
9098;10;390;1629;1000;6429
10107;11;953;1982;1000;7382
11115;12;698;2080;1000;8080
12122;13;661;2141;1000;8741
13134;14;557;2098;1000;9298
14144;15;630;2128;1000;9928
15151;16;794;2322;1000;10722
16166;17;970;2692;1000;11692
17181;18;675;2767;1000;12367
18209;19;420;2587;1000;12787
19228;20;424;2411;1000;13211
20237;21;907;2718;1000;14118
21263;22;994;3112;1000;15112
22270;23;643;3155;1000;15755
23284;24;484;3039;1000;16239
24291;25;876;3315;1000;17115
25299;26;992;3707;1000;18107
26302;27;909;4016;1000;19016
27311;28;794;4210;1000;19810
28316;29;476;4086;1000;20286
29329;30;726;4212;1000;21012
30336;31;735;4347;1000;21747
31349;32;521;4268;1000;22268
32364;33;664;4332;1000;22932
33372;34;710;4442;1000;23642
34382;35;662;4504;1000;24304
35392;36;649;4553;1000;24953
36401;37;841;4794;1000;25794
37409;38;997;5191;1000;26791
38419;39;466;5057;1000;27257
39427;40;758;5215;1000;28015
40442;41;426;5041;1000;28441
41457;42;708;5149;1000;29149
42461;43;895;5444;1000;30044
43472;44;381;5225;1000;30425
44479;45;586;5211;1000;31011
45491;46;694;5305;1000;31705
46497;47;819;5524;1000;32524
47511;48;339;5263;1000;32863
48522;49;351;5014;1000;33214
49528;50;748;5162;1000;33962
50542;51;926;5488;1000;34888
51554;52;354;5242;1000;35242
52562;53;424;5066;1000;35666
53571;54;353;4819;1000;36019
54579;55;414;4633;1000;36433
55594;56;527;4560;1000;36960
56606;57;985;4945;1000;37945
57615;58;376;4721;1000;38321
58628;59;650;4771;1000;38971
59644;60;520;4691;1000;39491
60650;61;312;4403;1000;39803
61664;62;920;4723;1000;40723
62670;63;565;4688;1000;41288
63675;64;867;4955;1000;42155
64690;65;801;5156;1000;42956
65700;66;965;5521;1000;43921
66712;67;561;5482;1000;44482
67727;68;595;5477;1000;45077
68740;69;735;5612;1000;45812
69751;70;515;5527;1000;46327
70765;71;973;5900;1000;47300
71766;72;949;6249;1000;48249
72780;73;873;6522;1000;49122
73785;74;591;6513;1000;49713
74793;75;506;6419;1000;50219
75797;76;770;6589;1000;50989
76812;77;684;6673;1000;51673
77821;78;989;7062;1000;52662
78822;79;654;7116;1000;53316
79833;80;632;7148;1000;53948
80845;81;704;7252;1000;54652
81857;82;872;7524;1000;55524
82869;83;643;7567;1000;56167
83880;84;678;7645;1000;56845
84894;85;413;7458;1000;57258
85907;86;326;7184;1000;57584
86922;87;879;7463;1000;58463
87938;88;361;7224;1000;58824
88951;89;557;7181;1000;59381
